serial,year_built,reg_date,previous,type,manufacturer,build_place,registration
,1965,1968.04.03,HB-799,Schempp-Hirth SH-1 Standard Austria,Schempp-Hirth KG,"Kirchheim unter Teck, W.Germany",OY-DXM
28497,1999,2007.05.22,N497TF VT-SIG N700AZ (N1781B) N60436 (N1786B),Boeing 737-73A,Boeing Company,"Renton, WA, USA",OY-MRO
107,1952,1967.06.14,D-6312,Scheibe Mü 13E Bergfalke I,Scheibe Flugzeugbau GmbH,"Dachau, W.Germany",OY-XES
22-1842,2006,2020.02.06,D-EPBO T7-AEA D-ETEK N794CD,Cirrus SR 22GTS,Cirrus Design Corporation,"Duluth, MN, USA",OY-WRM
9280,2008,2009.08.05,(D-AVIA) C-FOVD,Bombardier BD-700-1A10 Global Express XRS,Bombardier Inc Canada,,OY-WIN
E-2713,1992,2020.02.17,G-MAPR N55916,Beech A36 Bonanza,Beech Aircraft Corporation,"Wichita, KS, USA",OY-GUF
145/61,2007,2012.06.06,OO-BXD,Ultramagic M-145,Ultramagic SA,"Igualada, Spain",OY-EOE
,,2003.03.20,Cancelled NTU,Cameron A-210,Cameron Balloons Ltd,"Bristol, UK",OY-EOD
3822,1996,2003.08.01,SE-ZGO,Cameron A-250,Cameron Balloons Ltd,"Bristol, UK",OY-EOB
77A/757,1986,1986.03.21,Cancelled 2020.02.12,Colt 77A,Colt Balloons Ltd,"Oswestry, UK",OY-COY
12612,,2008.06.19,Cancelled NTU,Robinson R44 Clipper II,Robinson Helicopter Company  Inc,,OY-HKH
12604,2009,2008.06.19,Cancelled NTU,Robinson R44 Raven II Newscopter,Robinson Helicopter Company  Inc,"Torrance, CA, USA",OY-HKM
772,1987,1994.11.15,C-FAMJ (G-31-772),BAe Jetstream 3102,British Aerospace PLC,"Prestwick, UK",OY-SVK
15237,2009,2009.07.10,Cancelled 2018.08.30,Bombardier CL-600-2D24 RJ-900,Bombardier Inc Canada,"Mirabel, Montreal, Canada",OY-KFG
,,,,,,,OY-JRL (1)
AT.461,1981,1987.03.13,N222JC N109TA,Fairchild SA227-AT Merlin IVC,Fairchild Aircraft Corporation,"San Antonio, TX, USA",OY-CHB
3104,1998,2006.02.17,D-CIAA G-BYTY 5N-BRI D-CDXJ,Dornier 328-100,Dornier GmbH,"Oberpfaffenhofen, Germany",OY-NCD
136,1969,2001.07.26,F-BRVY,CEA DR 220 AB 2+2,Centre Est Aeronautique,"Dijon, France",OY-RVY
AT.066,1978,1993.06.18,(OY-NPC) OO-VGC YU-ALG D-IBAB N5455M,Swearingen SA226-AT Merlin IVA,Swearingen Aviation Corporation,"San Antonio, TX, USA",OY-FFE
,,,,,,,OY-CLA (1)
15242,2009,2009.07.17,Cancelled 2018.08.30,Bombardier CL-600-2D24 RJ-900,Bombardier Inc Canada,"Mirabel, Montreal, Canada",OY-KFI
3905,2009,2013.10.04,SX-OAJ (N390MX) (XA-MXR) D-AVWS,Airbus A319-112,Airbus Industrie,"Hamburg/Finkenwerder, Germany",OY-RCI
34689,2006,2020.02.24,D-ATUH C-FYUH D-ATUH C-FYUH D-ATUH,Boeing 737-8K5,Boeing Company,"Renton, WA, USA",OY-JZN
915,1990,2015.10.23,G-ISLD N915AE G-31-915,BAe Jetstream 3202,British Aerospace PLC,"Prestwick, UK",OY-SGP
RC-34,2009,2019.02.13,G-PROO M-PAUL N3194F,Hawker 4000,Hawker Beechcraft Corporation,"Wichita, KS, USA",OY-JJL
19000169,2008,2019.,SU-BUA VQ-BRX VP-CQR UR-WRF HZ-NQB PT-SDE,EMBRAER ERJ 190-200 IGW,EMBRAER,"Sao José dos Campos, Brazil",OY-GDE
,,,,,,,OY-EBC (2)
,1946,1946.11.01,Cancelled 1956.04.20,S.A.I. KZ III U-2,Skandinavisk Aero Industri A/S,"København, Denmark",OY-DZE
,2001,2014.01.17,I-ADCE D-ANFL F-WWEQ,Aeritalia/SNIAS ATR 72-212A,Avions de Transport Regional,"Toulouse, France",OY-CUJ
,,2018.06.12,Cancelled,Gulfstream GVI G650,Gulfstream Aerospace Corporation,"Savannah, GA, USA",OY-BZF
5137,1993,2006.11.10,N90AR N137CL C-GLWZ,Canadair CL-601-3R Challenger,Canadair Ltd,"Montreal, Que, Canada",OY-GSE
0988,2012,2019.04.01,PR-ATG F-WWLO,Aeritalia/SNIAS ATR 72-212A 600 Version,Avions de Transport Regional,"Toulouse, France",OY-YCI
44342,1984,1993.02.09,D-KNAF,Scheibe SF 25C Falke 2000,Scheibe Flugzeugbau GmbH,"Dachau, W.Germany",OY-XVH
23125,1991,1991.02.28,Cancelled 2019.07.04,Schleicher ASK 23B,"Schleicher Segelflugzeugbau, A.","Poppenhausen, W.Germany",OY-XTZ
17.03.017,1995,1996.02.08,Cancelled 2019.12.09,PZL-Swidnik PW-5 Smyk,Polskie Zaklady Lotnicze,"Swidnik, Poland",OY-XSV
1404,2021,2022.04.22,F-HAHN,DAHER TBM 700N (TBM 940),SOCATA,"Tarbes, France",OY-TBM(1)
33031,2022,2022.03.23,Cancelled,Schleicher AS 33Es,Alexander Schleicher GmbH & Co,"Poppenhausen, Germany",OY-SXA(1)
28R-7435267,1974,1976.11.29,G-BCKR,Piper PA-28R-200 Cherokee Arrow II,Piper Aircraft Corporation,"Vero Beach, FL, USA",OY-POW
2291,1996,2006.01.06,JA5323 G-BVYD,Britten-Norman BN-2B-20 Islander,Britten-Norman Ltd,,OY-PHS
34688,2006,2020.01.13,D-ATUG,Boeing 737-8K5,Boeing Company,"Renton, WA, USA",OY-JZM
,,,,,,,OY-JRI (1)
,,,,,,,OY-HXJ (1)
11454,2006,2006.11.22,Cancelled 2019.10.24,Robinson R44 Clipper II,Robinson Helicopter Company  Inc,"Torrance, CA, USA",OY-HTF
920060,2007,2008.01.16,N4503U,Sikorsky S-92A,Sikorsky Aircraft,"Stratford, CT, USA",OY-HKC
195,2009,2010.05.11,F-GVFX 3A-MGA C6-SZN FWWFL,Dassault Falcon 2000EX,Dassault Aviation,"Merignac, France",OY-GKJ
28-7305404,,2019.12.02,LN-FOF(3) SE-GDY,Piper PA-28-180 Cherokee Challenger,Piper Aircraft Corporation,"Vero Beach, FL, USA",OY-FFO
2,1937,2000.,(LN-LJS) LN-NJS SE-AGC 10,Corben Junior Ace,Corben,"Göteborg, Sweden",OY-DBA
,,,Cancelled NTU,Britten-Norman BN-2A-26 Islander,Britten-Norman Ltd,,OY-CFG
3009,1985,1985.08.23,G-BLNR RP-C1849,Britten-Norman BN-2A-26 Islander,Britten-Norman Ltd,"Bembridge, UK",OY-CEG
B121-107,1969,1969.12.05,(SE-FOB) (G-35-107),Beagle B.121 Pup 150,Beagle Aircraft Ltd,"Rearsby, UK",OY-DVB
29081,1999,2008.01.11,D-AHIE TC-SUF PH-AAQ 4X-ABR N1786B,Boeing 737-73S,Boeing Company,"Renton, WA, USA",OY-MRT
10318,1967,1985.10.23,G-BLMM P2-ANS VH-FNS PH-FKN,Fokker F.27 Friendship Srs. 600,Fokker-VFW BV,"Amsterdam, Holland",OY-CCK
28-7225541,1972,1974.02.12,N736FL,Piper PA-28-140E Cherokee Flite-Liner,Piper Aircraft Corporation,"Vero Beach, FL, USA",OY-ECU
4024,2000,2000.,C-GERL,DHC-8 Series 402,Bombardier Inc Canada,"Downsview, Ontario, Canada",OY-KCE
,2011,2018.03.22,PR-ATR F-WWLQ,Aeritalia/SNIAS ATR 72-212A 600 Version,Avions de Transport Regional,"Toulouse, France",OY-YCN
,,,Cancelled,,,,OY-9452
0972,2011,2019.03.15,PR-ATE F-WWLW,Aeritalia/SNIAS ATR 72-212A 600 Version,Avions de Transport Regional,"Toulouse, France",OY-YCH(2)
3638,1984,2002.06.27,D-HKUK,Hoffmann H 36 Dimona,Hoffmann Flugzeugbau GmbH,"Friesach, Austria",OY-TDX
2186,2004,2013.05.15,9H-AEJ D-AVWX,Airbus A319-112,Airbus Industrie,"Hamburg/Finkenwerder, Germany",OY-RCH
001-809,1984,2021.12.01,SE-XOO N619JS,Steen Skybolt,"Steen Aero Lab, Inc.",USA,OY-LYN(2)
A.065S.A.,1983,1986.06.03,N165GA N65JN N361DM,Mitsubishi MU-300 Diamond IA,Mitsubishi Jukogyo Kabushiki Kaisha,"San Angelo, TX, USA",OY-CDK
6351,2014,2014.11.17,(D-AVXK),Airbus A321-211,Airbus Industrie,"Hamburg/Finkenwerder, Germany",OY-TCF
6438,,2015.01.22,(D-AZAX),Airbus A321-211,Airbus Industrie,"Hamburg/Finkenwerder, Germany",OY-TCH
6314,2014,2014.10.24,(D-AZAC),Airbus A321-211,Airbus Industrie,"Hamburg/Finkenwerder, Germany",OY-TCD
6342,2014,2014.11.07,(D-AVXH),Airbus A321-211,Airbus Industrie,"Hamburg/Finkenwerder, Germany",OY-TCE
0357,2000,2000.09.14,(F-WWKA),Airbus A330-343,Airbus Industrie,"Toulouse, France",OY-VKI
6468,2014,2015.02.11,(D-AVZH),Airbus A321-211,Airbus Industrie,"Hamburg/Finkenwerder, Germany",OY-TCI
28221,1999,1999.03.23,(N1787B),Boeing 737-8Q8,Boeing Company,"Renton, WA, USA",OY-SEC
31480,2013,2013.06.04,Cancelled 2018.10.03,AgustaWestland AW139,AgustaWestland,"Cascina Costa, Italy",OY-HVB
72019,2019,2019.10.25,N519GD,Gulfstream G VII-G500,Gulfstream Aerospace Corporation,"Savannah, GA, USA",OY-WLD
098,2010,2014.01.24,N407KT F-WWNA,Dassault Falcon 7X,Dassault Aviation,"Merignac, France",OY-TSS
686,1985,1991.08.15,G-BSFG PH-KJF (G-31-686),BAe Jetstream 3102,British Aerospace PLC,"Prestwick, UK",OY-SVF
128,2003,2004.01.16,F-WWFE,Dassault Falcon 900EX,Dassault Aviation,"Merignac, France",OY-OKK
3257098,1999,1999.05.26,Cancelled 1999.10.01,Piper PA-32R-301T Saratoga II TC,Piper Aircraft Corporation,"Vero Beach, FL, USA",OY-JAG
073,2002,2019.12.10,HB-IUV (D-BQIQ) HB-IUV N712QS N673GA 4X-CVX,Gulfstream 200,Israel Aircraft Industries,"Tel Aviv, Israel",OY-IUV
358,2019,2019.10.30,Cancelled,Tecnam P2002-JF Sierra,"TECNAM S.r.l., Costruzioni Aeronautiche","Napoli, Italy",OY-GBI
357,2019,2019.10.30,Cancelled,Tecnam P2002-JF Sierra,"TECNAM S.r.l., Costruzioni Aeronautiche","Napoli, Italy",OY-GBG
334,2002,2017.03.08,HB-3350,Schempp-Hirth Duo Discus,Schempp-Hirth Flugzeugbau GmbH,"Kirchheim unter Teck, Germany",OY-FXZ
,,,,,,,OY-CKJ (2)
18262697,1973,1974.01.30,(N52596),Cessna 182P Skylane,Cessna Aircraft Company,"Wichita, KS, USA",OY-BFF
34-7870468,1978,1989.10.02,N30699,Piper PA-34-200T Seneca II,Piper Aircraft Corporation,"Vero Beach, FL, USA",OY-PEO
2331,1947,1948.08.06,G-AJIM,Auster J/1 Autocrat,Auster Aircraft Ltd,"Rearsby, UK",OY-AAK
01,1968,1969.05.19,F-BOFP (F-WOFP),Centre Est DR 340 Major,Centre Est Aeronautique,"Dijon, France",OY-DRE
2666,1950,1951.10.26,G-AJYU,Auster J/5D Autocar,Auster Aircraft Ltd,"Rearsby, UK",OY-ACI
33419,2002,2009.05.20,TF-JXF N419GE 9Y-GND,Boeing 737-8Q8,Boeing Company,"Renton, WA, USA",OY-PSC
486/C,2015,2015.07.29,Cancelled 2019.09.18,Partenavia P.68C,Partenavia Costruzioni Aeronautiche,"Casoria, Italy",OY-INS
BY-351,2019,2019.09.23,N351BY,Beech B200GT King Air 250,Beech Aircraft Corporation,"Wichita, KS, USA",OY-SHV
27833,1995,1995.02.10,Cancelled 1996.11.18,Boeing 737-3L9,Boeing Company,"Renton, WA, USA",OY-MAR
113,1990,2014.06.25,XY-AGI S5-AAB SX-BAT S5-AAB SL-AAB YU-AOD F-WWIH,Airbus A320-231,Airbus Industrie,"Toulouse, France",OY-LHD
28311,,1998.,N1786B (SE-DTG) (LN-RPC),Boeing 737-683,Boeing Company,"Renton, WA, USA",OY-KKG
4639,2007,2008.05.28,N974LN C-FPNG,Bell 206B3 Jet Ranger III,Bell Helicopter Textron Inc,"Mirabel, Que, Canada",OY-HPM
12226,2008,2008.04.23,Cancelled 2017.07.03,Robinson R44 Clipper II,Robinson Helicopter Company  Inc,"Torrance, CA, USA",OY-HKO
1777M,1991,1991.06.11,Cancelled 2019.02.04,Robinson R22 Mariner,Robinson Helicopter Company  Inc,"Torrance, CA, USA",OY-HFJ
9458,2011,2012.11.14,C-GKOY(2) N168JH C-GKOY(2),Bombardier BD-700-1A11 Global 5000,Bombardier Inc Canada,"Dorval, Que, Canada",OY-GVI
,1999,2015.06.17,CX-LFL F-WVI EC-HEI F-WWEG,Aeritalia/SNIAS ATR 72-212A,Avions de Transport Regional,"Toulouse, France",OY-YAN
30192,2000,,N1786B,Boeing 737-783,Boeing Company,"Renton, WA, USA",OY-KKI
580-6668,,2003.11.10,DT-884 51-8884,Lockheed T-33A-1-LO Shooting Star,Lockheed Aircraft Corporation,"Burbank, CA, USA",OY-TBB
,,,Cancelled,,,,OY-RTT
,,,,,,,OY-UCA (2)
2417,2021,2022.02.17,N315DK,Cirrus SR 22T,Cirrus Design Corporation,"Duluth, MN, USA",OY-SNU(1)
8918,2019,2019.07.16,(D-AXAJ),Airbus A320-251N,Airbus Industrie,"Hamburg/Finkenwerder, Germany",OY-RCK(1)
393,1956,1957.02.19,Cancelled 1969.11.12,Convair CV-440-61 Metropolitan,Convair div. of General Dynamics Corp.,"San Diego, CA, USA",OY-KPD
4279,2007,2007.07.30,Cancelled,Eurocopter AS 350B3+ Ecureuil,Eurocopter S.A.,"Marignane, France",OY-HGT
4040216,1978,1983.03.14,LN-MAI(2) (SE-GYF) N88676,Cessna 404 Titan,Cessna Aircraft Company,"Wichita, KS, USA",OY-GAZ
595-80,1980,1988.09.14,SE-IEP N5063G,Bellanca 8KCAB Decathlon,Bellanca Aircraft Corporation,"Osceola, WI, USA",OY-CYC
1389,1992,2019.08.08,I-IAGB,SOCATA TB-9 Tampico,SOCATA,"Tarbes, France",OY-CDU
11143,1979,1979.04.10,(PH-EXZ),Fokker F.28 Fellowship Mk.3000,Fokker B.V.,"Amsterdam, Holland",OY-BRM
AA5B-1165,1979,1984.05.23,HB-UCP,Gulfstream AA-5B Tiger,Gulfstream American Corporation,"Cleveland, OH, USA",OY-BPT
EA-669,2001,2001.06.13,N4469S,Beech B36TC Bonanza,Beech Aircraft Corporation,"Wichita, KS, USA",OY-BVO(2)
CE-1292,1988,1988.12.14,Cancelled 1991.12.09,Beech F33A Bonanza,Beech Aircraft Corporation,"Wichita, KS, USA",OY-BVO(1)
29077,1998,2005.02.18,(OY-MEZ) D-AGEZ N103UN,Boeing 737-73S,Boeing Company,"Renton, WA, USA",OY-MLZ
20800224,1992,2019.05.14,G-OHPC N228SR,Cessna 208 Caravan I,Cessna Aircraft Company,"Independence,KS, USA",OY-RUL(2)
61716,1974,1974.04.23,Cancelled 1980.10.31,Sikorsky S-61N,Sikorsky Aircraft,"Stratford, CT, USA",OY-HBE
,1976,1987.05.21,D-KEFL,Scheibe SF 25E Super Falke,Scheibe Flugzeugbau GmbH,"Dachau, W.Germany",OY-XYT
,,,Cancelled,,,,OY-9481
1095,2006,2006.08.07,Cancelled 2019.07.18,Lindstrand LBL 56B,Lindstrand Balloons Ltd,"Oswestry, UK",OY-KOS
26,1996,2007.02.06,HB-ISF N112CD TC-CIN VP-BHC TC-CIN F-WQFL N2000A N2046 F-WWMN,Dassault Falcon 2000,Dassault Aviation,"Merignac, France",OY-ICE
,1998,2016.09.14,B-22807 F-WQIZ F-WWEF,Aeritalia/SNIAS ATR 72-212A,Avions de Transport Regional,"Toulouse, France",OY-YBL
,,,Cancelled,,,,OY-9267
7131,2011,2019.06.19,LN-OYO F-WWXV,Eurocopter AS 350B3 Ecureuil,Eurocopter S.A.,"Marignane, France",OY-HIR
103,2006,2006.10.17,(OY-PNO),Dassault Falcon 2000EX,Dassault Aviation,,OY-FPN
103,2007,2007.03.14,F-WWME (OY-FPN) (OY-PNO),Dassault Falcon 2000EX,Dassault Aviation,"Merignac, France",OY-PNO
172S10447,2007,2008.05.16,N2138U,Cessna 172S Skyhawk SP,Cessna Aircraft Company,"Independence,KS, USA",OY-LRP
AA5B-0200,1975,1976.03.16,Cancelled 1981.01.26,Grumman AA-5B Tiger,Grumman American Aviation Corporation,"Cleveland, OH, USA",OY-GAM
AA5-0423,1973,1975.04.17,(N7123L),Grumman AA-5 Traveler,Grumman American Aviation Corporation,"Cleveland, OH, USA",OY-GAD
4-165,1968,1969.04.14,Cancelled 1971.01.08,SIAI-Marchetti S.205/18R,SIAI-Marchetti SpA,"Cesto Calende, Italy",OY-DNG
28R-7918107,1979,1984.11.06,TF-TMG N2114Z,Piper PA-28RT-201 Arrow IV,Piper Aircraft Corporation,"Vero Beach, FL, USA",OY-CEI
MC-627,1978,1978.12.04,Cancelled 1998.10.29,Beech C24R Sierra,Beech Aircraft Corporation,"Wichita, KS, USA",OY-AZL
,,,,,,,OY-MAN (1)
8918,2019,2019.07.16,(D-AXAJ),Airbus A320-251N,Airbus Industrie,"Hamburg/Finkenwerder, Germany",OY-RCK(2)
19000184,2008,2019.10.10,OY-GDB(2) EI-GGA G-FBEL PT-SDS,EMBRAER ERJ 190-200 IGW,EMBRAER,"Sao José dos Campos, Brazil",OY-GDB(1)
15221,2009,2009.03.24,Cancelled 2018.07.09,Bombardier CL-600-2D24 RJ-900,Bombardier Inc Canada,"Mirabel, Montreal, Canada",OY-KFD
509,1974,1978.10.02,D-2409,Glasflügel H.201B Standard Libelle,"Glasflügel, Ing. Eugen Hänle","Schlattstall, W.Germany",OY-XJK
28-22027,1966,1966.11.24,(OY-BBH),Piper PA-28-140 Cherokee,Piper Aircraft Corporation,"Vero Beach, FL, USA",OY-STU
,,,Cancelled,,,,OY-9478
,,,Cancelled,,,,OY-9489
F150-0270,1967,1977.12.21,SE-FBX,Reims/Cessna F150H,Cessna Aircraft Company,"Reims, France",OY-BJD
101A0616,1996,2019.05.10,F-CHGL,Centrair 101A Pegase,Centrair SA,"le Blanc, France",OY-LXU
29559,2008,2008.12.18,D-KCIC,Schleicher ASW 27-18E (ASG 29E),"Schleicher Segelflugzeugbau, A.","Poppenhausen, W.Germany",OY-ICX
0736,2009,2011.09.15,LN-OOL D-HECC,Eurocopter EC 135 P2+,Eurocopter S.A.,"Donauwörth, Germany",OY-HOL
2058,2018,2018.07.30,(D-HCBF(11)),Eurocopter EC 135T3,Eurocopter S.A.,"Donauwörth, Germany",OY-HNK
49013,2014,2014.10.08,(I-RAIM),AgustaWestland AW189,AgustaWestland,"Cascina Costa, Italy",OY-HMP
1778M,1991,1991.06.20,Cancelled,Robinson R22 Mariner,Robinson Helicopter Company  Inc,"Torrance, CA, USA",OY-HFL
8-38S9,1994,2003.07.17,BGA.4103/HPU (BGA.4074),Glaser-Dirks DG-800S,Glaser-Dirks Flugzeugbau,"Bruchsal, Germany",OY-HCX
CN,2006,2006.12.06,Cancelled 2019.04.10,Cameron N-120,Cameron Balloons Ltd,"Bristol, UK",OY-GOH
FA200-99,1970,1988.02.11,LX-JFY LX-MDM D-EMYY,Fuji FA-200-180 Aero Subaru,Fuji Heavy Industries,"Tokyo, Japan",OY-FRI
66,,2005.07.29,D-0290,Schempp-Hirth HS-2 Cirrus,Schempp-Hirth KG,,OY-EXP(2)
30,2014,2015.02.13,D-KEXP,Binder EB28 Edition,Binder Flugmotoren- und Flugzeugbau GmbH,"Ostheim f.d. Rhön, Germany",OY-EXP(3)
4429,1984,2019.05.03,D-2640,Rolladen-Schneider LS4-a,Rolladen-Schneider OHG,"Egelsbach, W.Germany",OY-EXD
27,2013,2014.03.19,Cancelled 2018.11.13,Binder EB 29,Binder Flugmotoren- und Flugzeugbau GmbH,"Ostheim f.d. Rhön, Germany",OY-EXB
10609,1966,1966.07.27,Cancelled 1972.10.09,SOCATA MS.892A Rallye Commodore 150,SOCATA,"Tarbes, France",OY-DKB
22-6874,1959,1959.08.27,Cancelled 2017.02.20,Piper PA-22-160 Tri-Pacer,Piper Aircraft Corporation,"Lock Haven, PA, USA",OY-DCL
414,1994,2013.10.30,N414WF F-WWLD,Aeritalia/SNIAS ATR 72-212,Avions de Transport Regional,"Toulouse, France",OY-CNJ
28-8416058,1984,1984.05.02,(SE-ILP),Piper PA-28-161 Warrior II,Piper Aircraft Corporation,"Vero Beach, FL, USA",OY-CEB
28-7911212,1979,2019.04.10,HB-PHW OY-BRW,Piper PA-28-236 Dakota,Piper Aircraft Corporation,"Vero Beach, FL, USA",OY-LTC
28-7911212,1979,1979.06.29,Cancelled 1983.05.04,Piper PA-28-236 Dakota,Piper Aircraft Corporation,"Vero Beach, FL, USA",OY-BRW
28-21451,1966,1966.05.04,Cancelled 2019.02.27,Piper PA-28-140 Cherokee,Piper Aircraft Corporation,"Vero Beach, FL, USA",OY-BBI
27336,1994,1994.03.14,Cancelled 1996.01.04,Boeing 737-3L9,Boeing Company,"Renton, WA, USA",OY-MAO
,,,,,,,OY-JRO (1)
60-141,1998,1999.07.21,N141LJ N234FX,Learjet 60,Learjet,"Wichita, KS, USA",OY-JKH
25190,1992,1993.04.17,EC-FMJ (EC-991),Boeing 737-4Y0,Boeing Company,"Renton, WA, USA",OY-MBL
86,2000,2000.08.21,Cancelled 2001.08.31,Schempp-Hirth Ventus 2cM,Schempp-Hirth KG,"Kirchheim unter Teck, W.Germany",OY-XVP
258,1983,2001.01.29,SE-TYV,Jastreb Standard-Cirrus G/81,"Jastreb, Aviona i Jedrilicia","Vrsac, Yugoslavia",OY-SSX
30189,1999,1999.06.28,(N1786B),Boeing 737-683,Boeing Company,"Renton, WA, USA",OY-KKF
,,,Cancelled,,,,OY-9491
28289,1998,1998.10.09,(N5002K),Boeing 737-683,Boeing Company,"Renton, WA, USA",OY-KKA
19000213,2008,2019.10.10,OY-GDA(2) EI-GGC G-FBEN PT-SGW,EMBRAER ERJ 190-200 IGW,EMBRAER,"Sao José dos Campos, Brazil",OY-GDA(1)
1870,2019,2019.05.13,HB-FSA(20),Pilatus PC-12/47E,Pilatus Flugzeugwerke AG,"Stans, Switzerland",OY-VLT
,,,Cancelled,,,,OY-9486
3143,2009,2010.03.17,N216CP,Cirrus SR 22GTS,Cirrus Design Corporation,"Duluth, MN, USA",OY-JCA
MU2B-35-635,1974,1978.02.22,N485AH XA-DID N485MA,Mitsubishi MU-2J (MU-2B-35),Mitsubishi Jukogyo Kabushiki Kaisha,"Tokyo, Japan",OY-ARV
152,1947,1947.08.30,Cancelled 1980.02.11,S.A.I. KZ VII U-4 Lærke,Skandinavisk Aero Industri A/S,"Kastrup, Denmark",OY-AAP
500-0329,1975,1984.08.20,N4999H XC-PPM XC-IPP N5329J ZS-JOK N5329J,Cessna 500 Citation I,Cessna Aircraft Company,"Wichita, KS, USA",OY-CEV
001-809,1984,2021.12.01,SE-XOO N619JS,Steen Skybolt,"Steen Aero Lab, Inc.",USA,OY-LYN(1)
8423,2002,2004.04.06,D-9027,Rolladen-Schneider LS8-b,Rolladen-Schneider OHG,"Egelsbach, W.Germany",OY-XXC
1371,2009,2019.03.28,D-OPET,Schroeder Fire Balloons G,Schröder Fire Balloons G.m.b.H.,"Schweich, Germany",OY-ZOO
0972,2011,2019.03.15,PR-ATE F-WWLW,Aeritalia/SNIAS ATR 72-212A 600 Version,Avions de Transport Regional,"Toulouse, France",OY-YCH(1)
,,,Cancelled,,,,OY-9288
,2007,2016.,B-22811 F-WQNC F-WWEJ,Aeritalia/SNIAS ATR 72-212A,Avions de Transport Regional,"Toulouse, France",OY-YBM
,2005,2017.,S2-AHF CX-POS EI-FCE VT-JCD F-WQMC F-WWLM,Aeritalia/SNIAS ATR 72-212A,Avions de Transport Regional,"Toulouse, France",OY-YAO
310Q0051,1970,1970.02.06,(N7651Q) (N7204L),Cessna 310Q,Cessna Aircraft Company,"Wichita, KS, USA",OY-AKD
28618,2000,2009.07.02,TF-JXH OK-TVQ EC-ILX OK-TVQ N1786B,Boeing 737-86N,Boeing Company,"Renton, WA, USA",OY-PSD
34247,2005,2014.01.20,N342AR JA737H N1787B,Boeing 737-86N,Boeing Company,"Renton, WA, USA",OY-PSH
,,,Cancelled,,,,OY-9470
2-147/1745,1981,2016.05.03,D-8707 OO-ZQT D-1160,Glaser-Dirks DG-200/17,Glaser-Dirks Flugzeugbau,"Bruchsal, Germany",OY-HXC
232,1967,1967.07.10,Cancelled 1981.03.02,Druine D.31 Turbulent,"Druine, Avions Roger","Vordingborg, Denmark",OY-AMZ
1152,1966,1966.09.19,Cancelled,Jodel D.112,"Jodel, Avions","Ferritslev, Denmark",OY-AME(1)
1150,1961,1961.08.16,(OY-AME),Jodel D.112,"Jodel, Avions","Rungsted Kyst, Denmark",OY-AMF
,1950,1977.05.20,PH-VRG F-BBBG (F-WBBG),Jodel D.112,"Jodel, Avions","Beaune, France",OY-ALE
500-0279,1975,1977.07.22,D-IMEN N279CC,Cessna 500 Citation,Cessna Aircraft Company,"Wichita, KS, USA",OY-AJV
4865,1942,1946.01.03,41-20095,Douglas C-53-DO Skytrooper,Douglas Aircraft Company Inc,"Santa Monica, CA, USA",OY-DCE
106,1977,1977.05.23,Cancelled 1989.08.08,Robin HR 200/160 Acrobin,"Robin, Avion Pierre","Dijon, France",OY-AJP
18258259,1967,1967.10.04,N2559R,Cessna 182K Skylane,Cessna Aircraft Company,"Wichita, KS, USA",OY-AHA
,,,,,,,OY-AGM (2)
F172-0552,1968,1968.08.14,(SE-FMP),Reims/Cessna F172H Skyhawk,Cessna Aircraft Company,"Reims, France",OY-AGF
524,1960,1960.05.14,Cancelled 1981.11.26,Scintex CP.301C Emeraude,"Scintex, Société","Courbevoie (Seine), France",OY-AAW
LJ-1097,2000,2000.08.30,JA8838 N69261,Beech C90A King Air,Beech Aircraft Corporation,"Wichita, KS, USA",OY-JAJ
1889,2002,2002.12.19,(F-WWBV),Airbus A320-214,Airbus Industrie,"Toulouse, France",OY-VKM
,,,,,,,OY-TVX (2)
1022,2012,2017.05.08,PR-PDA F-WWEW  (F-WWLP),Aeritalia/SNIAS ATR 72-212A 600 Version,Avions de Transport Regional,"Toulouse, France",OY-PDE
20127,1988,1988.07.22,(PH-EXL),Fokker F27 Mk.050,Fokker Aircraft BV,"Amsterdam, Holland",OY-MMJ
258099,1987,1993.07.15,C-FAAU N537BA (G-5-565),BAe 125 Srs.800A,British Aerospace PLC,"Hatfield, UK",OY-MCL
,,,,,,,OY-KCD (2)
411137,2009,2016.10.14,OM-IPE N200WY N10837,Cessna LC41-550FG Corvalis,Cessna Aircraft Company,"Wichita, KS, USA",OY-IPE
550-0229,1981,1990.05.01,N550JM N6803E,Cessna 550 Citation II,Cessna Aircraft Company,"Wichita, KS, USA",OY-GRC
,,,,,,,OY-GKC (3)
28-7890502,1978,1978.07.25,Cancelled 2011.01.25,Piper PA-28-181 Cherokee Archer II,Piper Aircraft Corporation,"Vero Beach, FL, USA",OY-BRI
171,1974,1974.09.25,Cancelled 2018-10.16,Rolladen-Schneider LS1-f,Rolladen-Schneider OHG,"Egelsbach, W.Germany",OY-VXZ
31-7852119,1978,2017.02.02,SE-KTF(2) LN-TSC(3) N27720,Piper PA-31-350 Navajo Chieftain,Piper Aircraft Corporation,"Lock Haven, PA, USA",OY-ZBB
3257419,2006,2015.05.13,F-GPMZ D-ESTC N31314,Piper PA-32R-301T Saratoga II TC,"Piper Aircraft, Inc","Vero Beach, FL, USA",OY-ZAA
,1959,1968.05.21,Z-982 98-982,Schleicher Ka 7 Rhönadler,"Schleicher Segelflugzeugbau, A.","Poppenhausen, W.Germany",OY-XFC
