serial,year_built,reg_date,previous,type,manufacturer,build_place,registration
2839,2012,2012.06.27,(F-WWOI),Eurocopter EC 225LP Super Puma Mk.II,Eurocopter S.A.,"Marignane, France",OY-HOK
1016,2025,2025.12.23,Cancelled,Tecnam P2006T NG,"TECNAM S.r.l., Costruzioni Aeronautiche","Napoli, Italy",OY-FFL
501-0161,1980,1989.05.18,N1955E,Cessna 501 Citation I/SP,Cessna Aircraft Company,"Wichita, KS, USA",OY-CYD
F33700025/01333,1970,1985.08.21,D-IHAW (N1733M),Reims/Cessna F.337F Super Skymaster,Cessna Aircraft Company,"Reims, France",OY-BYZ
,,,,,,,OY-HBB (2)
421A0013,1969,2000.11.23,OH-CBC (N2213Q),Cessna 421A,Cessna Aircraft Company,"Wichita, KS, USA",OY-OBC
7137,1991,2006.03.10,OO-YOG D-3673,Rolladen-Schneider LS7-WL,Rolladen-Schneider OHG,"Egelsbach, Germany",OY-XWX
,,,,,,,OY-XUL (1)
36.720,2002,2002.11.06,OE-9448,Diamond HK 36TC Super Dimona TC 100,HOAC-Austria,"Wiener-Neustadt, Østrig",OY-XUH
3380,1979,1979.03.21,Cancelled 2014.01.22,Rolladen-Schneider LS3-a,Rolladen-Schneider OHG,"Egelsbach, W.Germany",OY-XJP
F15201525,1978,1998.03.17,D-EACY,Reims/Cessna F152,Cessna Aircraft Company,"Reims, France",OY-TVA
25162,1992,1998.04.29,CS-TIL,Boeing 737-382,Boeing Company,"Renton, WA, USA",OY-SEF
18263880,,2011.07.06,LN-ASM (N6887M),Cessna 182P Skylane,Cessna Aircraft Company,"Wichita, KS, USA",OY-MIC
,,,,,,,OY-MAA (1)
24092,1990,2007.02.05,SE-UIE,Schleicher ASW 24,"Schleicher Segelflugzeugbau, A.","Poppenhausen, W.Germany",OY-LXM
8-370B269X33,2007,2008.03.13,D-KKJD,DG-808C,DG Flugzeugbau GmbH,"Bruchsal, Germany",OY-JXK
CN,2006,2006.12.06,Cancelled 2019.11.06,Cameron TR-70 Racer 70,Cameron Balloons Ltd,"Bristol, UK",OY-GOL
27008,1996,2005.03.01,D-6642,Schleicher ASW 27,"Schleicher Segelflugzeugbau, A.","Poppenhausen, W.Germany",OY-CXC
38-79A0745,1979,2018.01.10,LN-NRK D-ESOL SE-ICF,Piper PA-38-112 Tomahawk,Piper Aircraft Corporation,"Lock Haven, PA, USA",OY-NRK
,,,Cancelled,,,,OY-
3525,1980,2019.05.28,D-8750,Grob G 103 Twin II,"Grob-Werke GmbH & Co, KG","Mattsies, W.Germany",OY-ZXN
799,,1990.05.28,A40-DA C-GGBE,DHC-6 Twin Otter Srs.300,de Havilland Aircraft of Canada Ltd,"Downsview, Ont, Canada",OY-SLD
7622,2002,2014.02.21,EC-IDC C-GJYV C-FMLT,Bombardier CL-600-2B19 Regional Jet 200ER,Bombardier Inc Canada,"Mirabel, Montreal, Canada",OY-RJK
1231,2015,2026.02.24,G-CMEI M-ABPO N231EB HK-5109 F-WWEF,Aeritalia/SNIAS ATR 72-212A 600 Version,Avions de Transport Regional,"Toulouse, France",OY-NZR
46020033,2025,2025.11.03,N33FY,Piper PA-46-701P M700 Fury,"Piper Aircraft, Inc","Vero Beach, FL, USA",OY-NTE
,,,,,,,OY-NRG (2)
,,,,,,,OY-NRG (1)
1165,2014,2025.10.22,ES-ATD OY-JZF F-WWEF,Aeritalia/SNIAS ATR 72-212A 600 Version,Avions de Transport Regional,"Toulouse, France",OY-NZH
24903,1991,2014.02.14,N451KA G-JMCS N451KA UR-VVN M-ABCO UR-VVN OK-WGF 9M-MJN,Boeing 737-4Y0,Boeing Company,"Renton, WA, USA",OY-JTK
18261259,1972,2025.,LN-FXV SE-FXV N20853,Cessna 182P Skylane,Cessna Aircraft Company,"Wichita, KS, USA",OY-JES(2)
,,2012.,Cancelled NTU,Eurocopter EC 225LP Super Puma Mk.II,Eurocopter S.A.,"Marignane, France",OY-HOR
,,,,,,,OY-EBW (2)
28-22877,1967,1967.05.26,Cancelled 2025.11.12,Piper PA-28-140 Cherokee,Piper Aircraft Corporation,"Vero Beach, FL, USA",OY-BBR
485-52/TC,2015,2015.05.27,Cancelled 2018.02.14,Vulcanair P.68C-TC,Partenavia Costruzioni Aeronautiche,"Casoria, Italy",OY-GIS
18261259,1972,2025.,LN-FXV SE-FXV N20853,Cessna 182P Skylane,Cessna Aircraft Company,"Wichita, KS, USA",OY-JES(1)
1152,2014,2013.11.27,Cancelled NTU,Aeritalia/SNIAS ATR 72-212A 600 Version,Avions de Transport Regional,"Toulouse, France",OY-CUH
154,1989,2004.08.30,F-WQNF EC-ESS EC-383 F-WWEK,Aeritalia/SNIAS ATR 72-202,Avions de Transport Regional,"Toulouse, France",OY-RTE
53544,1997,1997.09.10,Cancelled 2006.09.21,McDonnell Douglas MD-90-30,McDonnell Douglas Corporation,"Long Beach, CA, USA",OY-KIN
28293,1998,1998.11.17,(N1787B),Boeing 737-683,Boeing Company,"Renton, WA, USA",OY-KKB
,,,,,,,OY-CKK (1)
4047,2006,2012.07.27,LN-OOY F-WQDG,Eurocopter AS 350B3 Ecureuil,Eurocopter S.A.,"Marignane, France",OY-HIS
2841175,1989,1989.10.12,Cancelled 2023.07.17,Piper PA-28-161 Cadet,Piper Aircraft Corporation,"Vero Beach, FL, USA",OY-JED
F17201116,1974,1974.05.16,Cancelled 2022.11.08,Reims/Cessna F172M Skyhawk,Cessna Aircraft Company,"Reims, France",OY-RYY
773,1987,1995.02.28,C-FAMK (G-31-773),BAe Jetstream 3102,British Aerospace PLC,"Prestwick, UK",OY-SVO
,,,,,,,OY-XET (2)
1323,,2025.09.03,ES-ATL CS-DJH F-WTDK F-WWEF,Aeritalia/SNIAS ATR 72-212A 600 Version,Avions de Transport Regional,"Toulouse, France",OY-NZK
11146,2006,2014.07.03,OO-RWJ,Robinson R44 Raven II,Robinson Helicopter Company  Inc,"Torrance, CA, USA",OY-HYO
,,,,,,,OY-HST (2)
2842253,2005,2005.12.21,N31258,Piper PA-28-161 Warrior III,Piper Aircraft Corporation,"Vero Beach, FL, USA",OY-PHK
,2002,2016.,VN-B212 F-WWEH,Aeritalia/SNIAS ATR 72-212A,Avions de Transport Regional,"Toulouse, France",OY-YBD
,1980,1991.07.02,G-BHAG (D-KDGO),Scheibe SF 25E Super Falke,Scheibe Flugzeugbau GmbH,"Dachau, W.Germany",OY-XTO
008,2025,2025.11.04,Cancelled,Aura Integral R,Aura Aero,"Cugnaux, France",OY-WTF
,,,,,,,OY-VKA (1)
19000530,2012,2025.09.12,PR-AXF,EMBRAER ERJ 190-200LR (195LR),EMBRAER,"Sao José dos Campos, Brazil",OY-NZP
19000471,2011,2025.09.03,PR-AYX,EMBRAER ERJ 190-200LR (195LR),EMBRAER,"Sao José dos Campos, Brazil",OY-NZO
1121,2013,2025.06.12,ES-ATG OY-JZB ES-ATG OY-JZB F-WWEJ,Aeritalia/SNIAS ATR 72-212A 600 Version,Avions de Transport Regional,"Toulouse, France",OY-NZG
1120,2013,2014.03.20,(OY-EBW(2)) (JA01LK) F-WKVH F-WWEI,Aeritalia/SNIAS ATR 72-212A 600 Version,Avions de Transport Regional,"Toulouse, France",OY-JZC
1120,2013,2025.08.28,ES-ATE OY-JZC (JA01LK) F-WKVH F-WWEI,Aeritalia/SNIAS ATR 72-212A 600 Version,Avions de Transport Regional,"Toulouse, France",OY-NZF
,2009,2025.02.24,N919AZ F-WNUJ G-VZON F-WWEW,Aeritalia/SNIAS ATR 72-212A,Avions de Transport Regional,"Toulouse, France",OY-NZE
2817,2006,2013.10.01,M-ABFP VT-KFL F-WWDJ,Airbus A320-232,Airbus Industrie,"Toulouse, France",OY-KAW
,,,,,,,OY-JSW (2)
4692182,2012,2021.09.17,(LN-TOB) (LN-AEJ) N915C,Piper PA-46R-350T Malibu Matrix,Piper Aircraft Corporation,"Vero Beach, FL, USA",OY-IMC
15-808,1981,2005.02.25,SE-ILB,SAAB-MFI 15-200A Safari,Malmö Flygindustri AB,"Linköping, Sweden",OY-ILB
14473,2021,2021.11.05,Cancelled 2025.09.23,Robinson R44 Clipper II,Robinson Helicopter Company  Inc,"Torrance, CA, USA",OY-HFS(3)
25003,1970,1970.06.02,N8170J,Bell 47G-5,Bell Helicopter Company,"Fort Worth, TX, USA",OY-HAJ
208B0173,,2025.10.08,F-GXMP OO-JMP N4659B,Cessna 208B Grand Caravan,Cessna Aircraft Company,"Independence,KS, USA",OY-GWA
