serial,year_built,reg_date,previous,type,manufacturer,build_place,registration,notes,year_reg
1064,2012.0,2025.05.28,OE-LTH ES-ATH EI-GIW VT-JCY F-WWEZ,Aeritalia/SNIAS ATR 72-212A 600 Version,Avions de Transport Regional,"Toulouse, France",OY-NZD,"F-WWEZ, VT-JCY, EI-GIW, ES-ATH, OE-LTH, OY-NZD, 5N-GAC",2025
19000050,2006.0,2025.03.24,XT-ABY 2-CYAS TC-YAS EI-FGP JY-EME PT-SGZ,EMBRAER ERJ 190-200,EMBRAER,"Sao José dos Campos, Brazil",OY-YGF,"PT-SGZ, JY-EME, EI-FGP, TC-YAS, 2-CYAS, XY-ABY, OY-YGF NAC, 2_YYGF",2025-2025
4407,2012.0,2023.02.08,SP-EQB C-GMXR,DHC-8 Series 402NG,Bombardier Inc Canada,"Downsview, Ontario, Canada",OY-YFS,"C-GMXR, SP-EQB, OY-YFS, N4407M, C-FKQX, JA46GA",2023-2023
9544,2013.0,2014.02.12,C-GUDZ,Bombardier BD-700-1A11 Global 5000,Bombardier Inc Canada,"Dorval, Que, Canada",OY-VIZ,"C-GUDZ, OY-VIZ ExecuJet Europe A/S , TC-EGG, TC-NKS",2014-2024
3449074,1998.0,2015.12.14,D-GGOH N41238,Piper PA-34-220T Seneca 5,"Piper Aircraft, Inc","Vero Beach, FL, USA",OY-TIP,"N41238, D-GGOH, OY-TIP, exported",2015-2026
30650,2002.0,2009.09.15,PH-HZV,Boeing 737-8K2,Boeing Company,"Renton, WA, USA",OY-TDB,"PH-HZV, OY-TDB Transavia, PH-HZV, F-GZHG, PH-HZV, 9H-AKP",2009-2011
3449251,2002.0,2002.07.18,N53489,Piper PA-34-220T Seneca 5,Piper Aircraft Corporation,"Vero Beach, FL, USA",OY-LAK,"N53489, OY-LAK Air Alpha, REKA A/S, LN-AAY, D-ICON, F-HPMI, D-GOAL",2002-2007
60-369,2009.0,2009.06.04,Cancelled 2012.03.28,Learjet 60XR,Bombardier Inc Canada,"Wichita, KS, USA",OY-KYS,"N10873, OY-KYS Air Alpha A/S, M-MARI, UR-ISH, T7-ISH, YL-MGM, P4-USA, N10873",2009-2012
3227,2007.0,2013.10.15,VT-INL F-WWBC,Airbus A320-232,Airbus Industrie,"Toulouse, France",OY-KAU,"F-WWBC, VT-INL, OY-KAU SAS ""Hjorvard Viking"", ZS-SZO",2013-2026
3919,2005.0,2005.04.28,(F-WWXB),Eurocopter AS 350B3 Ecureuil,Eurocopter S.A.,"Marignane, France",OY-HGO,"F-WWXB, OY-HGO Air Greenland A/S, F-HRTK, D-HAUL",2005-2025
9094,2001.0,2003.08.06,ZS-DLJ C-GIOX,Bombardier BD-700-1A10 Global Express,Bombardier Inc Canada,"Downsview, Ontario, Canada",OY-GLA,"C-GIOX, ZS-OLJ (error), ZS-DLJ, OY-GLA Execujet Scandinavia A/S, A6-EJB, EC-KJH, G-SENT, 2-JFJC, 9H-AYS, 9H-NSV, CS-NSV",2003-2004
431,2017.0,2017.12.19,(F-WWNE),Dassault Falcon 8X (7X MOD1000),Dassault Aviation,"Merignac, France",OY-DBS,"F-WWNE, OY-DBS, Danfoss, F-HYTV",2017-2025
T30300143,1982.0,1986.01.09,SE-IHZ (N5524C),Cessna T303 Crusader,Cessna Aircraft Company,"Wichita, KS, USA",OY-BHC,"(N5524C), SE-IHZ, OY-BHC Fyn Air Taxi, PH-JAF, D-IRAS, N30WA, 5H-AAI",1986-1988
7048,1989.0,1989.04.28,Cancelled 2003.11.18,Rolladen-Schneider LS7,Rolladen-Schneider OHG,"Egelsbach, Germany",OY-XRC,"D-5168, OY-XRC competition number RC, damaged 2.7.2002 Kronosberghed in Skåne, Sweden. Restored as a LS 7WL, competition number 1S, CC","1989-2003,
2006"
,,,,,,,OY-OST (2),"N1038V, OY-OST,",2010-2025
1448,2017.0,2025.12.11,G-IACY F-WWEU,Aeritalia/SNIAS ATR 72-212A 600 Version,Avions de Transport Regional,"Toulouse, France",OY-NZT,"F-WWEU, G-IACY, OY-NZT",2025
1312,2016.0,2025.12.11,G-CMFI LZ-DAH HZ-MHH F-WNUB F-WWES,Aeritalia/SNIAS ATR 72-212A 600 Version,Avions de Transport Regional,"Toulouse, France",OY-NZS,"F-WWES, F-WNUB, HZ-MHH, LZ-DAH, G-CMFI, OY-NZS",2025
24219,1988.0,1992.05.07,(PH-OZB) G-BOZB (OY-MMO) (N1786B),Boeing 737-3L9,Boeing Company,"Renton, WA, USA",OY-MMO,"N1786B, (OY-MMO), G-BOZB, (PH-OZB), G-BOZB, OY-MMO Maersk Air, EC-996, OY-MMO, PH-TSW, N219TY, (G-IGOD), G-IGOX, G-ZAPW, N421AU, PP-YBC, N219AE, HP-2011UCG","(1988) 
1992-1995"
34022,2005.0,2018.01.15,LZ-AWL B-5217 N1786B,Boeing 737-79L(W),Boeing Company,"Renton, WA, USA",OY-JTP,"N1786B, B-5217, LZ-AWL, OY-JTP Jettime, broken up",2018-2025
,,,,,,,OY-JRF (2),"F-WWLX, F-OIXE, OY-JRF",2025
0616,1999.0,1999.08.06,Cancelled 2001.09.11,Robinson R44 Clipper,Robinson Helicopter Company  Inc,"Torrance, CA, USA",OY-HSV,"OY-HSV, LN-OGR, WFU 2025",1999-2001
0274,2012.0,2012.06.04,F-HERO,Eurocopter EC 135T2+,Eurocopter S.A.,"Donauwörth, Germany",OY-HPU,"F-HERO, OY-HPU Andersen & Skouboe I/S,",2012-2025
2839,2012.0,2012.06.27,(F-WWOI),Eurocopter EC 225LP Super Puma Mk.II,Eurocopter S.A.,"Marignane, France",OY-HOK,"F-WWOI, OY-HOK DanCopter A/S, VP-CBU, N252EV, PS-OFN",2012-2018
1016,2025.0,2025.12.23,Cancelled,Tecnam P2006T NG,"TECNAM S.r.l., Costruzioni Aeronautiche","Napoli, Italy",OY-FFL,,2025
501-0161,1980.0,1989.05.18,N1955E,Cessna 501 Citation I/SP,Cessna Aircraft Company,"Wichita, KS, USA",OY-CYD,"N1955E, OY-CYD, N5UM, XB-FXO, XB-GRE, N501FP, N96MB, N967B, ZS-APK",1989-1994
F33700025/01333,1970.0,1985.08.21,D-IHAW (N1733M),Reims/Cessna F.337F Super Skymaster,Cessna Aircraft Company,"Reims, France",OY-BYZ,"(N1733M), D-IHAW, OY-BYZ, SE-LSS",1985-2025
,,,,,,,OY-HBB (2),OY-HBB BlackBird Aviation,2026
421A0013,1969.0,2000.11.23,OH-CBC (N2213Q),Cessna 421A,Cessna Aircraft Company,"Wichita, KS, USA",OY-OBC,"N2213Q, (N4031L), OH-CBC, OY-OBC, EC-KAR, stored Madrid-Cuatro Vientos, Spain (LECU)",2000-2006
7137,1991.0,2006.03.10,OO-YOG D-3673,Rolladen-Schneider LS7-WL,Rolladen-Schneider OHG,"Egelsbach, Germany",OY-XWX,"D-3673, OO-YOG, OY-XWX competition number BG, UR-PHKW, UR-BHKW, UR-LIMA",2006-2012
,,,,,,,OY-XUL (1),"D-KXUL,(OY-XUL)SG-70 Herning competition number BI, crashed 16.4.2021 near Arnborg, D-KXUL",(2016)
36.720,2002.0,2002.11.06,OE-9448,Diamond HK 36TC Super Dimona TC 100,HOAC-Austria,"Wiener-Neustadt, Østrig",OY-XUH,"G-BMSK, G-LIDR, OY-XUH competition number UH, OK-0087",2004-2023
