serial,year_built,reg_date,previous,type,manufacturer,build_place,registration,notes,year_reg
29559,2008.0,2008.12.18,D-KCIC,Schleicher ASW 27-18E (ASG 29E),"Schleicher Segelflugzeugbau, A.","Poppenhausen, W.Germany",OY-ICX,"D-KCIC, OY-ICX competition no JC, IC,  F-CMVO",2008-2019
0736,2009.0,2011.09.15,LN-OOL D-HECC,Eurocopter EC 135 P2+,Eurocopter S.A.,"Donauwörth, Germany",OY-HOL,"D-HECC(18), LN-OOL, OY-HOL Norsk Luftambulanse AS, LN-OOL , HA-HBO",2011-2015
2058,2018.0,2018.07.30,(D-HCBF(11)),Eurocopter EC 135T3,Eurocopter S.A.,"Donauwörth, Germany",OY-HNK,"(D-HCBF), OY-HNK, KN Helicopters A/S, Esbjerg",2018
49013,2014.0,2014.10.08,(I-RAIM),AgustaWestland AW189,AgustaWestland,"Cascina Costa, Italy",OY-HMP,"I-RAIM, OY-HMP Bel Air Aviation Invest A/S, RA-01693, OY-HMP","2014-2018
2019"
1778M,1991.0,1991.06.20,Cancelled,Robinson R22 Mariner,Robinson Helicopter Company  Inc,"Torrance, CA, USA",OY-HFL,"OY-HFL, (D-HAPC (2018)), OY-HFL",1991
8-38S9,1994.0,2003.07.17,BGA.4103/HPU (BGA.4074),Glaser-Dirks DG-800S,Glaser-Dirks Flugzeugbau,"Bruchsal, Germany",OY-HCX,"(BGA 4074), BGA 4103/HPU, OY-HCX, competition number HC, OK-0800",2003-2019
CN,2006.0,2006.12.06,Cancelled 2019.04.10,Cameron N-120,Cameron Balloons Ltd,"Bristol, UK",OY-GOH,"OY-GOH, OK-",2006-2019
FA200-99,1970.0,1988.02.11,LX-JFY LX-MDM D-EMYY,Fuji FA-200-180 Aero Subaru,Fuji Heavy Industries,"Tokyo, Japan",OY-FRI,"D-EMYY, LX-MDM, LX-JFY, OY-FRI, D-EKBB, PH-KPG",1988-1990
66,,2005.07.29,D-0290,Schempp-Hirth HS-2 Cirrus,Schempp-Hirth KG,,OY-EXP(2),"D-0290, (OY-EXP(2)), D-0290",(2005)
30,2014.0,2015.02.13,D-KEXP,Binder EB28 Edition,Binder Flugmotoren- und Flugzeugbau GmbH,"Ostheim f.d. Rhön, Germany",OY-EXP(3),"D-KEXP, OY-EXP, D-KEXP",2015-2018
4429,1984.0,2019.05.03,D-2640,Rolladen-Schneider LS4-a,Rolladen-Schneider OHG,"Egelsbach, W.Germany",OY-EXD,"D-2640, OY-EXD",2019
27,2013.0,2014.03.19,Cancelled 2018.11.13,Binder EB 29,Binder Flugmotoren- und Flugzeugbau GmbH,"Ostheim f.d. Rhön, Germany",OY-EXB,"D-KEXB, OY-EXB Alfa-Gruppen, D-KCWA",2014-2018
10609,1966.0,1966.07.27,Cancelled 1972.10.09,SOCATA MS.892A Rallye Commodore 150,SOCATA,"Tarbes, France",OY-DKB,"OY-DKB, D-EDKC, UR-CSL",1966-1972
22-6874,1959.0,1959.08.27,Cancelled 2017.02.20,Piper PA-22-160 Tri-Pacer,Piper Aircraft Corporation,"Lock Haven, PA, USA",OY-DCL,"OY-DCL, LZ-, YU-DPW, LZ-DPW",1959-2017
414,1994.0,2013.10.30,N414WF F-WWLD,Aeritalia/SNIAS ATR 72-212,Avions de Transport Regional,"Toulouse, France",OY-CNJ,"F-WWLD, N414WF, OY-CNJ Kirk Aviation A/S, DBR (hard landing) at Rome, Italy on 24-7-2017, scrapped in 2019",2013-2019
28-8416058,1984.0,1984.05.02,(SE-ILP),Piper PA-28-161 Warrior II,Piper Aircraft Corporation,"Vero Beach, FL, USA",OY-CEB,"(SE-ILP), OY-CEB, SE-IZZ, HA-BFE",1984-1987
28-7911212,1979.0,2019.04.10,HB-PHW OY-BRW,Piper PA-28-236 Dakota,Piper Aircraft Corporation,"Vero Beach, FL, USA",OY-LTC,"OY-BRW, HB-PHW, OY-LTC",2019
28-7911212,1979.0,1979.06.29,Cancelled 1983.05.04,Piper PA-28-236 Dakota,Piper Aircraft Corporation,"Vero Beach, FL, USA",OY-BRW,"OY-BRW, HB-PHW, OY-LTC",1979-1983
28-21451,1966.0,1966.05.04,Cancelled 2019.02.27,Piper PA-28-140 Cherokee,Piper Aircraft Corporation,"Vero Beach, FL, USA",OY-BBI,"OY-BBI, D-ESDL(2)reserved 2016, D-EOYB",1966-2019
27336,1994.0,1994.03.14,Cancelled 1996.01.04,Boeing 737-3L9,Boeing Company,"Renton, WA, USA",OY-MAO,"OY-MAO Maersk Air, D-ADBH ""Otto Lilienthal"", G-IGOS, LN-KKT, PK-CKK, B/U 2018",1994-1996
,,,,,,,OY-JRO (1),"N827K, (N507M), OY-JRO Danish Air Transport, G-OJRO, N902WW, G-JOTA, N139WF",1991-2007
60-141,1998.0,1999.07.21,N141LJ N234FX,Learjet 60,Learjet,"Wichita, KS, USA",OY-JKH,"N141LJ, (N234FX), OY-JKH Execujet Scandinavia, N163BA, N655TH, N888KL, N602AC",1999-2002
25190,1992.0,1993.04.17,EC-FMJ (EC-991),Boeing 737-4Y0,Boeing Company,"Renton, WA, USA",OY-MBL,"EC-991, EC-FMJ, OY-MBL Maersk Air, TC-SUT, HA-LEU, UR-GAM, N519AG, HL8291, PR-SLU",1993-1994
86,2000.0,2000.08.21,Cancelled 2001.08.31,Schempp-Hirth Ventus 2cM,Schempp-Hirth KG,"Kirchheim unter Teck, W.Germany",OY-XVP,"OY-XVP/T, PH-1242, OY-XVP, competition number T, D-KBMI","2000-2001,
2003-2018"
258,1983.0,2001.01.29,SE-TYV,Jastreb Standard-Cirrus G/81,"Jastreb, Aviona i Jedrilicia","Vrsac, Yugoslavia",OY-SSX,"SE-TYV, OY-SSX, competition number SS, D-2992, N5630",2001-2008
30189,1999.0,1999.06.28,(N1786B),Boeing 737-683,Boeing Company,"Renton, WA, USA",OY-KKF,"N1786B, OY-KKF, SAS ""Fridlev Viking"", LN-RCT, wfu in 2018, scrapped in 2019",1999-2000
,,,Cancelled,,,,OY-9491,,
28289,1998.0,1998.10.09,(N5002K),Boeing 737-683,Boeing Company,"Renton, WA, USA",OY-KKA,"N5002K, OY-KKA, SAS  ""Alvid Viking"", LN-RPW, WFU 2018, scrapped 2019",1998-1999
19000213,2008.0,2019.10.10,OY-GDA(2) EI-GGC G-FBEN PT-SGW,EMBRAER ERJ 190-200 IGW,EMBRAER,"Sao José dos Campos, Brazil",OY-GDA(1),"F-WZHT, N71FJ, N450X, (N50EF), N204DD, N202DD, N392U, N130A, LX-GED, (OY-GDA), N589KM, N100DV, N51MJ, N400KE, N954DP, N954SG",(1996)
1870,2019.0,2019.05.13,HB-FSA(20),Pilatus PC-12/47E,Pilatus Flugzeugwerke AG,"Stans, Switzerland",OY-VLT,"HB-FSA(19), OY-VLT",2019
,,,Cancelled,,,,OY-9486,,
3143,2009.0,2010.03.17,N216CP,Cirrus SR 22GTS,Cirrus Design Corporation,"Duluth, MN, USA",OY-JCA,"N216CP, OY-JCA, D-EHMB",2010-2019
MU2B-35-635,1974.0,1978.02.22,N485AH XA-DID N485MA,Mitsubishi MU-2J (MU-2B-35),Mitsubishi Jukogyo Kabushiki Kaisha,"Tokyo, Japan",OY-ARV,"N485MA, XA-DID, N485AH, OY-ARV, LN-MTU,  OY-ARV, EC-GOK, RA-05722","1978-1982 
1984-1997"
152,1947.0,1947.08.30,Cancelled 1980.02.11,S.A.I. KZ VII U-4 Lærke,Skandinavisk Aero Industri A/S,"Kastrup, Denmark",OY-AAP,"CofA expired 1973, being rebuild, destroyed in a hangar fire at Herning (EKHG) 2.4.2019",1947-1980
500-0329,1975.0,1984.08.20,N4999H XC-PPM XC-IPP N5329J ZS-JOK N5329J,Cessna 500 Citation I,Cessna Aircraft Company,"Wichita, KS, USA",OY-CEV,"N5329J, ZS-JOK, N5329J, XC-IPP, XC-PPM, N4999H, OY-CEV Falck Air ""Nancy"" , Cimber Air, North Flying, dismantled -1-2017 and shipped to USA for parts as N810JT",1984-2017
001-809,1984.0,2021.12.01,SE-XOO N619JS,Steen Skybolt,"Steen Aero Lab, Inc.",USA,OY-LYN(1),"9-98, OY-LYN, 9-98, LY-BCW",1993-2004
8423,2002.0,2004.04.06,D-9027,Rolladen-Schneider LS8-b,Rolladen-Schneider OHG,"Egelsbach, W.Germany",OY-XXC,"D-9027, OY-XXC Competition number R8, D-KJFJ",2004-2014
1371,2009.0,2019.03.28,D-OPET,Schroeder Fire Balloons G,Schröder Fire Balloons G.m.b.H.,"Schweich, Germany",OY-ZOO,"D-OPET, OY-ZOO",2019
0972,2011.0,2019.03.15,PR-ATE F-WWLW,Aeritalia/SNIAS ATR 72-212A 600 Version,Avions de Transport Regional,"Toulouse, France",OY-YCH(1),"F-WWED, F-WKVH, XY-AJV, (OY-YCH), 2-XAJV, PK-TNK",(2017)
,,,Cancelled,,,,OY-9288,"9-288, OY-9288",
,2007.0,2016.,B-22811 F-WQNC F-WWEJ,Aeritalia/SNIAS ATR 72-212A,Avions de Transport Regional,"Toulouse, France",OY-YBM,"F-WWEJ, F-WQNC, B-22811, (OY-YBM) NAC, 2-TPAJ, 9N-AMM",(2016)
,2005.0,2017.,S2-AHF CX-POS EI-FCE VT-JCD F-WQMC F-WWLM,Aeritalia/SNIAS ATR 72-212A,Avions de Transport Regional,"Toulouse, France",OY-YAO,"F-WWLM, F-WQMC, VT-JCD, EI-FCE, CX-POS, S2-AHF, (OY-YAO); S2-AHF",(2017)
310Q0051,1970.0,1970.02.06,(N7651Q) (N7204L),Cessna 310Q,Cessna Aircraft Company,"Wichita, KS, USA",OY-AKD,"N7204L, N7651Q, OY-AKD, HB-LGH, HA-CIG, LZ-RDX",1970-1971
28618,2000.0,2009.07.02,TF-JXH OK-TVQ EC-ILX OK-TVQ N1786B,Boeing 737-86N,Boeing Company,"Renton, WA, USA",OY-PSD,"N1786B, OK-TVQ, EC-ILX, OK-TVQ, TF-JXH, OY-PSD Primera Air, YL-PSD, LZ-GNB, G-DRTW",2009-2015
34247,2005.0,2014.01.20,N342AR JA737H N1787B,Boeing 737-86N,Boeing Company,"Renton, WA, USA",OY-PSH,"JA737H, N342AR, OY-PSH, Primera Air Scandinavia, YL-PSH, LZ-GNA, G-DRTU",2014-2014
,,,Cancelled,,,,OY-9470,,2018
2-147/1745,1981.0,2016.05.03,D-8707 OO-ZQT D-1160,Glaser-Dirks DG-200/17,Glaser-Dirks Flugzeugbau,"Bruchsal, Germany",OY-HXC,"D-1160, OO-ZQT, D-8707, OY-HXC competition number UP",2016
232,1967.0,1967.07.10,Cancelled 1981.03.02,Druine D.31 Turbulent,"Druine, Avions Roger","Vordingborg, Denmark",OY-AMZ,"OY-AMZ, SE-XDV (c/n 232-143) CoA expired 2004",1967-1981
1152,1966.0,1966.09.19,Cancelled,Jodel D.112,"Jodel, Avions","Ferritslev, Denmark",OY-AME(1),"(OY-AME(1)), OY-AMF, SE-XEV (c/n 1-192)",(1957)
1150,1961.0,1961.08.16,(OY-AME),Jodel D.112,"Jodel, Avions","Rungsted Kyst, Denmark",OY-AMF,"(OY-AME(1)), OY-AMF, SE-XEV (c/n 1-192)",1961-1981
,1950.0,1977.05.20,PH-VRG F-BBBG (F-WBBG),Jodel D.112,"Jodel, Avions","Beaune, France",OY-ALE,"F-WBBG, F-BBBG, PH-VRG, OY-ALE, SE-BEB, cancelled 2010",1977-1983
500-0279,1975.0,1977.07.22,D-IMEN N279CC,Cessna 500 Citation,Cessna Aircraft Company,"Wichita, KS, USA",OY-AJV,"N279CC, D-IMEN, OY-AJV, SE-DEX, N70454, VH-NMW, N120S, N501KG, N700LW, N425JS, N138HB, scrapped 2017",1977-1983
4865,1942.0,1946.01.03,41-20095,Douglas C-53-DO Skytrooper,Douglas Aircraft Company Inc,"Santa Monica, CA, USA",OY-DCE,"41-20095, OY-DCE DDL, SAS ""Gorm Viking"", N9959F, N34D, N34DF, N34D. On display at USAF Museum, Wright-Patterson AFB, Beach City, OH, N34DF named ""Beach City Baby"" first flight 6.10.2018 after restoration",1946-1952
106,1977.0,1977.05.23,Cancelled 1989.08.08,Robin HR 200/160 Acrobin,"Robin, Avion Pierre","Dijon, France",OY-AJP,"OY-AJP, SE-KNA, G-SAUL",1977-1989
18258259,1967.0,1967.10.04,N2559R,Cessna 182K Skylane,Cessna Aircraft Company,"Wichita, KS, USA",OY-AHA,"N2559R, OY-AHA, SE-ELS, wfu 2014",1967-1968
,,,,,,,OY-AGM (2),"OY-AGM Egetæpper A/S, Business Jet Flight Center A/S, Stauning Aero Service, JIP-FLY I/S, SE-LGK, on display at the James Bond Museum, Nybro, Sweden 2016-",1969-1999
F172-0552,1968.0,1968.08.14,(SE-FMP),Reims/Cessna F172H Skyhawk,Cessna Aircraft Company,"Reims, France",OY-AGF,"(SE-FMP), OY-AGF",1968
524,1960.0,1960.05.14,Cancelled 1981.11.26,Scintex CP.301C Emeraude,"Scintex, Société","Courbevoie (Seine), France",OY-AAW,"OY-AAW, CofA expired 1978, SE-XHC, damaged 4.8.2002 at Skövde, Sweden (ESGR)",1960-1981
LJ-1097,2000.0,2000.08.30,JA8838 N69261,Beech C90A King Air,Beech Aircraft Corporation,"Wichita, KS, USA",OY-JAJ,"N69261, JA8838, OY-JAJ, N114DB, N757BA",2000-2002
1889,2002.0,2002.12.19,(F-WWBV),Airbus A320-214,Airbus Industrie,"Toulouse, France",OY-VKM,"F-WWBV, OY-VKM MyTravel Airways, Thomas Cook Airlines, D-ABNN",2002-2015
,,,,,,,OY-TVX (2),"SE-URI, OM-2020, OY-TVX(2) competition number Z",2019
1022,2012.0,2017.05.08,PR-PDA F-WWEW  (F-WWLP),Aeritalia/SNIAS ATR 72-212A 600 Version,Avions de Transport Regional,"Toulouse, France",OY-PDE,"(F-WWLP), F-WWEW, PR-PDA, (OY-PDE), 2-RPDA, EC-NBG",(2017)
20127,1988.0,1988.07.22,(PH-EXL),Fokker F27 Mk.050,Fokker Aircraft BV,"Amsterdam, Holland",OY-MMJ,"PH-EXL, OY-MMJ Maersk Air, ES-AFL, OO-VLO, brooken up 2019 Antwerp",1988-1996
258099,1987.0,1993.07.15,C-FAAU N537BA (G-5-565),BAe 125 Srs.800A,British Aerospace PLC,"Hatfield, UK",OY-MCL,"G-5-565, N537BA, C-FAAU, OY-MCL, N10YJ, WFU 2019",1993-1997
,,,,,,,OY-KCD (2),"C-FDHW, (OY-KCD), (SE-LRD), LN-RDC SAS ""Hader Viking"", C9-AUL, 2-CAUL, broken up 7.3.2019",(2000)
411137,2009.0,2016.10.14,OM-IPE N200WY N10837,Cessna LC41-550FG Corvalis,Cessna Aircraft Company,"Wichita, KS, USA",OY-IPE,"N10837, N200WY, OM-IPE, OY-IPE Badly Damaged Vejrø 3.6.2018, N400LX",2016-2019
550-0229,1981.0,1990.05.01,N550JM N6803E,Cessna 550 Citation II,Cessna Aircraft Company,"Wichita, KS, USA",OY-GRC,"N6803E, N550JM, OY-GRC Greenlandair Charter A/S, N50FC, C-FGAT, N229MC, YV3414",1990-1992
,,,,,,,OY-GKC (3),"N52141, OY-GKC Kirkbi Invest A/S, D-CPOS, D-CTXT, D-CDCM",2012-2015
28-7890502,1978.0,1978.07.25,Cancelled 2011.01.25,Piper PA-28-181 Cherokee Archer II,Piper Aircraft Corporation,"Vero Beach, FL, USA",OY-BRI,"OY-BRI, RA-2037G",1978-2011
171,1974.0,1974.09.25,Cancelled 2018-10.16,Rolladen-Schneider LS1-f,Rolladen-Schneider OHG,"Egelsbach, W.Germany",OY-VXZ,"Competition number A5. LS 1 Gruppe Kolding v/Kolding Flyveklub, w/o 3.9.2017 Gesten",1974-2018
31-7852119,1978.0,2017.02.02,SE-KTF(2) LN-TSC(3) N27720,Piper PA-31-350 Navajo Chieftain,Piper Aircraft Corporation,"Lock Haven, PA, USA",OY-ZBB,"N27720, LN-TSC, SE-KTF, OY-ZBB FlexFlight, D-IZBB, (D-IZZB), OE-FGP",2017-2018
3257419,2006.0,2015.05.13,F-GPMZ D-ESTC N31314,Piper PA-32R-301T Saratoga II TC,"Piper Aircraft, Inc","Vero Beach, FL, USA",OY-ZAA,"N31314, D-ESTC(2), F-GPMZ, OY-ZAA FlexFlight ApS, D-EVAA(2), OE-KGP",2015-2018
,1959.0,1968.05.21,Z-982 98-982,Schleicher Ka 7 Rhönadler,"Schleicher Segelflugzeugbau, A.","Poppenhausen, W.Germany",OY-XFC,"98-982, Z-982, OY-XFC, competition number FC, Dansk Svæveflyvehistorisk Klub, SP-",1968-2018
28210,1998.0,2009.08.27,TF-JXG TF-NBA (OY-MRS) EI-DZD 5T-CLK N341LF LV-YYC (HB-TEA) N801LF N5573P (HB-III),Boeing 737-7Q8,Boeing Company,"Renton, WA, USA",OY-PSF,"N5573P, (HB-III), N801LF, LV-YYC, 5T-CLK, EI-DZD, (OY-MRS), TF-NBA, TF-JXG, OY-PSF Primera Air, YL-PSF, 2-RLBB, broken up St Athan 2019",2009-2015
4697415,,2009.09.27,Cancelled 2009.10.08,Piper PA-46-500TP Malibu Meridian,Piper Aircraft Corporation,"Vero Beach, FL, USA",OY-PKI,"OY-PKI Air Alpha Sales A/S, N415BJ, C-GLBX, C-FHTH, N476CA, N31EP",(2009)
28210,1998.0,2008.01.11,EI-DZD 5T-CLK N801LF LV-YYC (HB-TEA) N801LF N5573P,Boeing 737-7Q8,Boeing Company,"Renton, WA, USA",OY-MRS,"EI-CXE, G-STRH, OY-MRS Cimber Sterling, EI-CXE, SE-REY, broken up 2019",2010-2012
28210,1998.0,2008.01.11,EI-DZD 5T-CLK N801LF LV-YYC (HB-TEA) N801LF N5573P,Boeing 737-7Q8,Boeing Company,"Renton, WA, USA",OY-MRS,"N5573P, (HB-III), N801LF, LV-YYC, 5T-CLK, EI-DZD, (OY-MRS) Sterling, TF-NBA, TF-JXG, OY-PSF Primera Air, YL-PSF, 2-RLBB, B/U",(2008)
1067,1962.0,1970.05.05,SE-TCE OY-EFX D-1814,Scheibe Zugvogel IIIB,Scheibe Flugzeugbau GmbH,"Dachau, W.Germany",OY-MHX,"D-1814, OY-EFX, SE-TCE, OY-MHX Kolding Flyveklub,
competition number 10, DaSK, D-",1970-2019
28306,1999.0,2002.02.27,LN-RPE N1795B,Boeing 737-683,Boeing Company,"Renton, WA, USA",OY-KKY,"N1795B, LN-RPE, OY-KKY SAS ""Elda Viking"", TT5665H, 8195C, stored Woensdrecht 12.2002, EC-ING, SE-DOT, (LN-RNR), (LN-RNT), LN-RPE, N495SR, broken up in 2018",2002-2003
24848,1990.0,1990.11.15,SE-DKS,Boeing 767-383ER,Boeing Company,"Everett, WA, USA",OY-KDN,"SE-DKS, OY-KDN SAS ""Ulf Viking"", TT61795H, 8455C, PH-AHY, (OO-EAG), HS-BID, stored in 2.2016 as N24848, broken up in 2017",1990-2003
340,2018.0,2018.12.19,Cancelled,Tecnam P2002-JF Sierra,"TECNAM S.r.l., Costruzioni Aeronautiche","Napoli, Italy",OY-GBE,,2018
339,2018.0,2018.12.19,Cancelled,Tecnam P2002-JF Sierra,"TECNAM S.r.l., Costruzioni Aeronautiche","Napoli, Italy",OY-GBD,,2018
293,1973.0,1995.04.19,HB-VJX HZ-PL1 N2613 N2615 N4442F (F-WMKJ),Dassault Falcon 20E,"Dassault, Avions Marcel","Merignac, France",OY-CKY,"F-WMKJ, N4442F, N2615, N2613, HZ-PL1, HB-VJX, OY-CKY, F-WQBN, F-GOBZ, I-GOBZ, F-WQVA, RA-09005, UR-CLF, N570ZD broken up 2017",1995-1997
NA0274/257105,,2001.04.23,N560SB HB-VLL N700DE N44BB N125TA N125BA G-5-11,HS 125 Srs.700A,British Aerospace PLC,,OY-VIA,"N125BA, N125TA, N44BB, N700DE, HB-VLL, N560SB, (OY-VIA), (OY-CKO), N560SB, G-CFBP, N700KL",(2001)
NA0274/257105,,2001.04.23,N560SB HB-VLL N700DE N44BB N125TA N125BA G-5-11,HS 125 Srs.700A,British Aerospace PLC,,OY-VIA,"C-GLXF, N2636N, N111G, HB-ILH, N888LW, N620SB, (OY-VIA Air Alsie), (OY-CKO), N711GA, N399WB, WFU, instructual airframe, Waco, TX","(1999) (OY-VIA)
(1992) (OY-CKO)"
,,,,,,,OY-CKO (2),"C-GLXF, N2636N, N111G, HB-ILH, N888LW, N620SB, (OY-VIA Air Alsie), (OY-CKO), N711GA, N399WB, WFU, instructual airframe, Waco, TX","(1999) (OY-VIA)
(1992) (OY-CKO)"
,,,,,,,OY-CKH (1),"F-WPXK, HB-IEC, VR-CLD, F-GOGL, VP-BCD, F-GUDP, N134FJ, (OY-CKH), F-GOCT, F-HALM, N134CJ",(2000)
28-8590043,1985.0,1988.09.16,N152AV,Piper PA-28-181 Archer II,Piper Aircraft Corporation,"Vero Beach, FL, USA",OY-CGY,"N152AV, OY-CGY, G-BRLE, OO-NZF, F-GXAC",1988-1989
1532,1960.0,1960.05.06,(N8354E),Mooney M-20A,Mooney Aircraft Corporation,"Kerrville, TX, USA",OY-ADR,"N8354E, OY-ADR, DBR near Ringsted (EKRS) 11.6.2015",1960-2019
,2009.0,2019.01.24,2-XAVT 4X-AVT F-WWEN,Aeritalia/SNIAS ATR 72-212A,Avions de Transport Regional,"Toulouse, France",OY-YCT,"F-WWEN, 4X-AVT, 2-XAVT, OY-YCT, G-ISLN",2019-2019
21278,1976.0,1976.12.10,(N8289V)(N1787B),Boeing 737-2L9,Boeing Company,"Renton, WA, USA",OY-APG,"OY-APG Maersk Air, N88131, JA357K, N693UA, scrapped at San Bernardino, CA USA 15.2.2019",1996-2002
21278,1976.0,1976.12.10,(N8289V)(N1787B),Boeing 737-2L9,Boeing Company,"Renton, WA, USA",OY-APG,"N1787B, N8289V, OY-APG Maersk, 4R-ALC, F-GCGR, D2-TBT, EI-BMY, G-BKRO, 4R-ALC, C6-BFC, XA-TCP, N358AS, N464AT, wfu and stored 4.2013",1976-1979
TC.258,1978.0,1991.12.02,C-GBDF 4X-CSA N5463M,Swearingen SA226-TC Metro II,Swearingen Aviation Corporation,"San Antonio, TX, USA",OY-NPA,"N5463M, 4X-CSA, C-GBDF, OY-NPA North Flying, Nordic Air A/S, (SP-MRB), G-CEGE, wfu and stored at Aalborg (EKYT) 2007-2019, scrapped 2.2019",1991-2007
,,,Cancelled,,,,OY-9494,,2019
,1996.0,2017.10.20,HK-4747 F-WNUI SP-EDC F-GPYI F-WWLM,Aeritalia/SNIAS ATR 42-500,Avions de Transport Regional,"Toulouse, France",OY-YBT,"F-WWLM, F-GPYI, SP-EDC, F-WNUI, HK-4747X, HK-4747, FAC1182, OY-YBT, broken up 8.2019 at Mönchengladbach, Germany",2017-2018
,1970.0,1970.06.02,Cancelled 2018.06.08,Schempp-Hirth HS-4 Standard-Cirrus,Schempp-Hirth KG,"Kirchheim unter Teck, W.Germany",OY-XEZ,"XEZ-Gruppen, competition number 31, PH-1607",1970-2018
,,,,,,,OY-UCA (1),"N5085E, OY-UCA Himmark Air A/S, 9A-JIP",2004-2018
24-3070,1988.0,1989.01.06,N205XX,Mooney M-20J Mooney 205,Mooney Aircraft Corporation,"Kerrville, TX, USA",OY-SVB,"G-31-985, JA8591, OY-SVB (2) Sun-Air ""Union Flag"", 9G-AGS",2004-2018
24-3070,1988.0,1989.01.06,N205XX,Mooney M-20J Mooney 205,Mooney Aircraft Corporation,"Kerrville, TX, USA",OY-SVB,"N205XX, OY-SVB, SE-KSY, crashed 15.3.1992 into Stora Rägnen south of Linköping",1989-1991
1171,2007.0,2008.02.29,Cancelled 2018.02.13,Lindstrand LBL 90A,Lindstrand Balloons Ltd,"Oswestry, UK",OY-SOE,"Sonofon/Sony Ericsson, N942BH",2008-2018
18281040,2001.0,2002.03.13,N3539Q,Cessna 182T Skylane,Cessna Aircraft Company,"Independence,KS, USA",OY-NJH,"N3539Q, OY-NJH, F-HHPA",2002-2018
2046,1983.0,1983.06.07,Cancelled 1995.12.01,Aérospatiale AS 332L Super Puma,Aérospatiale (SNIAS),"Marignane, France",OY-HMG,"OY-HMG, G-BWMG, 5N-BGP, G-BWMG, TZ-22H (AS.332L1)",1983-1996
4340,2008.0,2008.07.21,Cancelled 2017.11.22,Robinson R22 Beta II,Robinson Helicopter Company  Inc,"Torrance, CA, USA",OY-HHE,"K.M.M. Invest af 1972 ApS, SP-HHE",2008-2017
18261786,1973.0,1973.04.24,N78847,Cessna 182P Skylane,Cessna Aircraft Company,"Wichita, KS, USA",OY-DVS,"N78847, OY-DVS, G-BMUD, LZ-AVP",1973-1981
BB-0932,1981.0,1989.05.23,D-IBCI,Beech B200 Super King Air,Beech Aircraft Corporation,"Wichita, KS, USA",OY-CCE,"D-IBCI, OY-CCE, SE-KKM, Fv101004/F7-014, SE-KKM, HB-GJX, F-OIAA, VH-PFT",1989-1989
1816,2018.0,2018.11.26,N816WA HB-FQA(20),Pilatus PC-12/47E,Pilatus Flugzeugwerke AG,"Stans, Switzerland",OY-AWH,"HB-FQA b(19), N816WA, OY-AWH",2018
,,,,,,,OY-GAC (2),"(N8955L), LN-UXQ, OY-GAC, DBR Grenå 1.8.17",1974-2019
30658,2003.0,2019.03.08,HL8263 VH-VOV,Boeing 737-82R,Boeing Company,"Renton, WA, USA",OY-JZJ,"VH-VOV, HL8263, OY-JZJ, Jettime",2019
,1960.0,1965.10.30,SP-2167,SZD-22C Mucha Standard,Polskie Zaklady Lotnicze,"Krosno, Poland",OY-EHX,"SP-2167, OY-EHX competition number W2, Dansk Svæveflyvehistorisk Klub, OE-",1965-2012
21982,1942.0,1945.12.03,SE-BAR 42-107067,Boeing B-17G-35-DL Fortress,Boeing Aircraft Company,"Long Beach, CA, USA",OY-DFE,"42-107067, SE-BAR, OY-DFE DDL ""Trym Viking"", damaged in collision with RAF Dakota KG427 (c/n 12462 42-92639) 30.1.1946 Kastrup. Fuselage in use as a shed in Rågeleje 1947",1945-1946
31722,2016.0,2016.04.05,(I-EASY),AgustaWestland AW139,AgustaWestland,"Cascina Costa, Italy",OY-HIL,"I-EASY, OY-HIL Atlantic Airways ""Sàmal Joensen-Mikines""",2016
,,2007.03.06,Cancelled NTU,,,,OY-HIH,"I-EASG, OY-HIH Atlantic Airways  ""Ruth Smith""",2015
1059,2012.0,2017.05.08,PR-PDI F-WWET (F-WWED),Aeritalia/SNIAS ATR 72-212A 600 Version,Avions de Transport Regional,"Toulouse, France",OY-PDD,"(F-WWED), F-WWET, PR-PDI, (OY-PDD), 2-PPDI, EC-NBG",(2017)
12162,2008.0,2008.03.05,Cancelled 2018.06.11,Robinson R44 Raven II,Robinson Helicopter Company  Inc,"Torrance, CA, USA",OY-HYB,"OY-HYB, A2-HSI",2008-2018
,,,,,,,OY-JAN (1),"N34640, TF-IOO, TF-ILO, TF-RUN, OY-JAN, UR-JAN",1996-2018
6828,2009.0,2009.03.24,(F-WWOC),Eurocopter EC 155B1 Dauphin,Eurocopter S.A.,"Marignane, France",OY-HJA,"F-WWOC, OY-HJA DanCopter A/S, (D-HBGC), G-CKUY, D-HNHF",2009-2018
,,,,,,,OY-ALW (2),"G-AHAA, D-EHAB, OY-ALW, Dansk Veteranflysamling, G-AHAA",1978-2018
11AC-1601,1947.0,1991.08.01,D-EKUD HB-UPK D-ECAB N9953F LX-AID,Aeronca 11AC Chief,Aeronca Aircraft Corporation,"Middletown, OH, USA",OY-AVN,"LX-AID, N9953F, D-ECAB, HB-UPK, D-EKUD, OY-AVN, I-APPY",1991-2016
F17200824,1972.0,2010.11.19,D-ECQV,Reims/Cessna F172L Skyhawk,Cessna Aircraft Company,"Reims, France",OY-OBV,"D-ECQV, OY-OBV ABC Luftfoto, HA-OCE, LZ-SIG",2010-2015
