registration,type,manufacturer,year_built,serial,mtom,reg_date,category
LN-WFO,DHC-8-311,De Havilland Aircraft of Canada Limited,1997,493,19504.50,06.05.1998,Fly
LN-WFS,DHC-8-311,De Havilland Aircraft of Canada Limited,1999,535,19504.50,10.11.1999,Fly
LN-WFT,DHC-8-311,De Havilland Aircraft of Canada Limited,1999,532,19504.50,10.09.2004,Fly
LN-WIA,DHC-8-103,De Havilland Aircraft of Canada Limited,1993,359,15966.00,21.05.1993,Fly
LN-WIB,DHC-8-103,De Havilland Aircraft of Canada Limited,1993,360,15966.00,04.06.1993,Fly
LN-WIC,DHC-8-103,De Havilland Aircraft of Canada Limited,1993,367,15966.00,13.10.1993,Fly
LN-WID,DHC-8-103,De Havilland Aircraft of Canada Limited,1993,369,15966.00,05.11.1993,Fly
LN-WIE,DHC-8-103,De Havilland Aircraft of Canada Limited,1993,371,15966.00,21.01.1994,Fly
LN-WIF,DHC-8-103,De Havilland Aircraft of Canada Limited,1993,372,15966.00,21.01.1994,Fly
LN-WIG,DHC-8-103,De Havilland Aircraft of Canada Limited,1994,382,15966.00,27.06.1994,Fly
LN-WIH,DHC-8-103,De Havilland Aircraft of Canada Limited,1994,383,15966.00,15.07.1994,Fly
LN-WII,DHC-8-103,De Havilland Aircraft of Canada Limited,1994,384,15966.00,04.08.1994,Fly
LN-WIJ,DHC-8-103,De Havilland Aircraft of Canada Limited,1994,386,15966.00,27.09.1994,Fly
LN-WIL,DHC-8-103,De Havilland Aircraft of Canada Limited,1995,398,15966.00,27.03.1995,Fly
LN-WIM,DHC-8-103,De Havilland Aircraft of Canada Limited,1995,403,15966.00,06.06.1995,Fly
LN-WIN,DHC-8-103,De Havilland Aircraft of Canada Limited,1995,409,15966.00,25.08.1995,Fly
LN-WIO,DHC-8-103,De Havilland Aircraft of Canada Limited,1995,417,15966.00,08.12.1995,Fly
LN-WIR,DHC-8-103,De Havilland Aircraft of Canada Limited,1991,273,15966.00,05.12.1996,Fly
LN-WIT,DHC-8-103,De Havilland Aircraft of Canada Limited,1991,310,15966.00,10.03.2008,Fly
