registration,type,manufacturer,year_built,serial,mtom,reg_date,category
LN-CST,M-120,Ultramagic S.A,2003,120/04,1173.00,08.03.2011,Ballong
LN-CTH,BB30Z,Balony Kubicek spol. s r.o,2010,773,945.00,25.06.2010,Ballong
LN-DAG,F172 M,Textron Aviation Inc.,1974,F172-1219,1043.00,20.06.1975,Fly
LN-DAH,F172 M,Textron Aviation Inc.,1976,F172-1471,1043.00,13.07.1978,Fly
LN-DAP,MFI 9 Junior,Malmö Flygindustri,1965,036,575.00,17.02.1976,Fly
LN-DAY,F172 N,Reims Aviation S.A.,1977,F172-1608,1157.00,26.07.1977,Fly
LN-DBA,172S,Textron Aviation Inc.,2005,172S10042,1157.00,30.05.2013,Fly
LN-DBR,172D,Textron Aviation Inc.,1963,172-50165,1009.00,15.02.1990,Fly
LN-DBU,172C,Textron Aviation Inc.,1962,172-49398,1020.00,14.09.1962,Fly
LN-DBY,182N,Cessna Aircraft Company,1969,182-60103,1338.00,17.04.1970,Fly
LN-DES,RV-8,"Van`s Aircraft, inc.",2015,81969,816.00,24.09.2015,Fly
LN-DFM,172S,Textron Aviation Inc.,2006,172S 10422,1157.00,31.01.2007,Fly
LN-DHC,DHC-1,De Havilland Aircraft of Canada Limited,1950,WB586,876.00,16.10.1996,Fly
LN-DHY,DH 100 Vampire Mk.6,Federal Aircraft Factory,1952,705,5620.00,30.05.2013,Fly
LN-DHZ,DH 115 Mk55,Federal Aircraft Factory,1959,990,5699.00,23.04.2007,Fly
LN-DPS,Canadair T-33,Canadair,1959,133599,7620.00,07.01.2015,Fly
LN-DRF,Dragonfly Mk2,"Lensebakken, Torvid",1991,594,544.00,05.07.1994,Fly
LN-DUE,Backcountry Boss,Backcountry Super Cub LLC.,2016,BC31407008,1179.00,15.08.2018,Fly
LN-DYM,737-8JP,The Boeing Company,2011,39005,78999.00,21.10.2021,Fly
LN-DYR,737-8JP,The Boeing Company,2011,40870,78999.00,23.06.2021,Fly
LN-DYT,737-8JP,The Boeing Company,2011,39048,78999.00,08.12.2021,Fly
LN-DYU,737-8JP,The Boeing Company,2011,39008,78999.00,16.12.2021,Fly
LN-DYX,737-8JP,The Boeing Company,2012,39011,78999.00,21.06.2021,Fly
LN-DYY,737-8JP,The Boeing Company,2012,39012,78999.00,24.06.2021,Fly
LN-EAP,Cassutt-III M,Spickes Ben J Jr.,1996,001-1533,408.00,07.10.2020,Fly
LN-ECM,PA-46-600TP,"Piper Aircraft, Inc.",2017,4698051,2722.00,20.05.2021,Fly
LN-EDB,182S,Textron Aviation Inc.,1999,18280529,1406.00,14.02.2012,Fly
LN-EFA,T206H,Textron Aviation Inc.,2006,T20608616,1720.00,22.03.2011,Fly
LN-EHB,RV-4,"Bjørnebekk, Einar Henriksen",1999,2760,680.00,26.06.2001,Fly
LN-EIC,PA-25-235,LAVIA ARGENTINA S.A.,1964,25-2591,1315.00,31.01.2024,Fly
LN-ELB,Virus SW 128,Pipistrel d.o.o. Ajdovščina,2021,VSW1280030,600.00,28.05.2021,Fly
LN-ELG,SR 22,Cirrus Design Corporation,2011,3742,1542.00,15.03.2011,Fly
LN-ELL,Virus SW 128,Pipistrel d.o.o. Ajdovščina,2023,VSW1280089,600.00,01.06.2023,Fly
LN-ELT,Virus SW 121A,Pipistrel d.o.o. Ajdovščina,2023,VSW121A0132,600.00,01.06.2023,Fly
LN-EMN,JABIRU J430,David John Royce,2006,PFA 336-14060,700.00,25.01.2010,Fly
LN-ENL,737-8JP,The Boeing Company,2016,41148,78999.00,13.08.2021,Fly
LN-ENM,737-8JP,The Boeing Company,2016,42071,78999.00,08.07.2021,Fly
LN-ENN,737-800,The Boeing Company,2016,42082,78999.00,30.04.2021,Fly
LN-ENO,737-800,The Boeing Company,2017,42088,78999.00,16.06.2021,Fly
LN-ENP,737-800,The Boeing Company,2017,42090,78999.00,08.06.2021,Fly
LN-ENQ,737-800,The Boeing Company,2017,42092,78999.00,02.06.2021,Fly
LN-ENR,737-800,The Boeing Company,2018,42093,78999.00,11.06.2021,Fly
LN-ENS,737-800,The Boeing Company,2017,42281,78999.00,10.06.2021,Fly
LN-ENT,737-800,The Boeing Company,2017,42282,78999.00,03.06.2021,Fly
LN-ENU,737-8JP,The Boeing Company,2015,42069,78999.00,11.08.2021,Fly
LN-ENV,737-8JP,The Boeing Company,2015,41140,78999.00,30.06.2021,Fly
LN-EON,Pipistrel Alpha Electro 167,Pipistrel d.o.o. Ajdovščina,2019,938 AE 60,550.00,26.09.2019,Fly
LN-EPX,P2 Xcursion,Equator Aircraft Norway SA,2018,P2MK2V4 001,750.00,06.03.2017,Fly
LN-ERB,Glastar GS-1 TD,Glasair Aviation LLC,2019,5747,889.00,05.02.2019,Fly
LN-ESS,CASA 1.131 E-3B,"Construcciones Aeronauticas, S.A.",1958,2156,720.00,08.12.2005,Fly
LN-EUJ,680A,Textron Aviation Inc.,2021,C680A-0272,13970.00,23.12.2021,Fly
LN-EZE,PA-18-150,"Piper Aircraft, Inc.",1966,18-8444,794.00,12.09.2011,Fly
LN-EAA,Acro Sport II,"Strande, Ole Erik",2003,2065,810.00,12.06.2007,Fly
LN-FAB,J-2 Cub,Taylor Aircraft Corporation,1937,980,485.00,04.12.1937,Fly
LN-FAG,F172 M,Textron Aviation Inc.,1976,F172-1485,1043.00,15.06.1977,Fly
LN-FAW,F172 N,Reims Aviation S.A.,1978,F172-1703,1043.00,12.07.1978,Fly
LN-FEW,TF-51D Mustang ,Fighter Escort Wings ,2020,032,1225.00,19.03.2020,Fly
LN-FFF,U206G,Textron Aviation Inc.,1978,U206-04497,1633.00,20.06.2006,Fly
LN-FGE,737-8,The Boeing Company,2022,63560,78925.00,27.04.2022,Fly
LN-FGF,737-8,The Boeing Company,2022,43324,78925.00,22.02.2022,Fly
LN-FGG,737-8,The Boeing Company,2022,43343,78925.00,23.03.2022,Fly
LN-FGH,737-8,The Boeing Company,2022,43354,78925.00,29.04.2022,Fly
LN-FGI,737-8,The Boeing Company,2022,65185,78925.00,29.07.2022,Fly
LN-FGJ,737-8,The Boeing Company,2022,65903,78925.00,30.08.2022,Fly
LN-FIJ,AA-5A,Grumman American Aviation Corporation,1977,AA5A-0486,999.00,12.06.2012,Fly
LN-FIN,RV-7,"Van`s Aircraft, inc.",2020,72744,817.00,24.01.2020,Fly
LN-FKE,PA-31,"Piper Aircraft, Inc.",1968,31-293,2948.00,08.12.1986,Fly
LN-FLY,Carbon Cub,CubCrafters,2017,CCK1865-0064,846.00,07.07.2017,Fly
LN-FMU,91B,SAAB-Scania AB,1953,91-267,1165.00,11.11.1986,Fly
LN-FNA,787-9,The Boeing Company,2018,63345,252650.00,28.01.2022,Fly
LN-FNB,787-9,The Boeing Company,2019,63346,252650.00,20.12.2021,Fly
LN-FNC,787-9,The Boeing Company,2018,38790,252650.00,18.02.2022,Fly
LN-FND,787-9,The Boeing Company,2018,38788,252650.00,08.03.2022,Fly
LN-FNE,787-9,The Boeing Company,2018,38789,250836.00,27.01.2025,Fly
LN-FNL,787-9,The Boeing Company,2019,63320,252650.00,19.03.2024,Fly
LN-FOB,PA-28-151,"Piper Aircraft, Inc.",1974,28-7415344,1055.00,27.10.1978,Fly
LN-FOC,210H,Textron Aviation Inc.,1968,21059007,1542.00,19.12.1978,Fly
LN-FOO,T206H,Textron Aviation Inc.,2004,T20608506,1633.00,11.03.2011,Fly
LN-FRI,DA 50 C,Diamond Aircraft Industries GmbH,2023,50.C.A.A.046,1999.00,07.07.2023,Fly
LN-FRK,YMF Model F5C,Waco Classic Aircraft Corporation,,F5C102,1338.00,13.03.2025,Fly
LN-FRV,RV-8,"Van`s Aircraft, inc.",2016,81348,815.00,04.08.2016,Fly
LN-FSA,PA-28-181,"Piper Aircraft, Inc.",1978,28-7890549,1157.00,26.02.1988,Fly
LN-FSB,PA-28-140,"Piper Aircraft, Inc.",1969,28-23870,976.00,04.07.1989,Fly
LN-FTB,DA 62,Diamond Aircraft Industries GmbH,2021,62.159,2300.00,22.07.2021,Fly
LN-FTD,172S,Textron Aviation Inc.,2008,172S10794,1157.00,13.11.2008,Fly
LN-FTE,172S,Textron Aviation Inc.,2009,172S10994,1157.00,25.09.2009,Fly
LN-FTM,DA 40 NG,Diamond Aircraft Industries GmbH,2015,40.N286,1310.00,01.07.2015,Fly
LN-FTQ,DA 40 NG,Diamond Aircraft Industries GmbH,2015,40.N297,1310.00,09.10.2015,Fly
LN-FTS,DA 40 NG,Diamond Aircraft Industries GmbH,2016,40.N306,1310.00,11.02.2016,Fly
LN-FTT,DA 42 NG,Diamond Aircraft Industries GmbH,2016,42.N198,1999.00,01.02.2016,Fly
LN-FTU,DA 40 NG,Diamond Aircraft Industries GmbH,2017,40.NC004,1310.00,05.09.2017,Fly
LN-FTX,Boeing A75N1,The Boeing Company,1943,75-4952,1338.00,04.07.2011,Fly
LN-FUN,SuperSTOL,Just Aircraft LLC,2021,JA385-06-14,599.00,10.03.2021,Fly
LN-FVB,DHC-8-103,De Havilland Aircraft of Canada Limited,1999,540,15966.00,24.02.2020,Fly
LN-FWP,Piaggio FWP 149D,Vereinigte Flugtechnische Werke Fokker GmbH,1958,025,1820.00,21.01.2015,Fly
LN-FZO,F172 M,Textron Aviation Inc.,1974,F172-1145,1043.00,12.03.2010,Fly
LN-GAB,G103A,Grob-Werke Burkhart Grob e. K.,1986,34063-K293,580.00,04.04.1986,Seilfly
LN-GAD,SPECHT,,1957,410,390.00,12.04.1991,Seilfly
LN-GAJ,LS8-A,Rolladen-Schneider Flugzeugbau GmbH,1995,8010,525.00,15.03.2000,Seilfly
LN-GAK,Ventus-2cM,Schempp-Hirth Flugzeugbau GmbH,2000,89,500.00,21.07.2000,Seilfly
LN-GAL,VENTUS B16.6,Schempp-Hirth Flugzeugbau GmbH,1981,47,430.00,05.02.2001,Seilfly
LN-GAM,ASK 21,Alexander Schleicher GmbH & Co. Segelflugzeugbau,1982,21132,600.00,05.11.1982,Seilfly
LN-GAO,Duo Discus T,Schempp-Hirth Flugzeugbau GmbH,2005,113,700.00,14.02.2005,Seilfly
LN-GAQ,K8B,Alexander Schleicher GmbH & Co. Segelflugzeugbau,1963,8217,310.00,29.01.2013,Seilfly
LN-GAT,SF 28 A,Scheibe Aircraft GmbH,1974,5765,610.00,12.09.1985,Seilfly
LN-GAW,L 13 SL VIVAT,"EVEKTOR, spol. s r.o.",1993,930508,720.00,18.11.1999,Seilfly
LN-GAZ,SDZ55-1,,1990,551190009,500.00,24.04.2003,Seilfly
LN-GBF,B4-PC11,Pilatus Aircraft,1974,107,350.00,05.04.1974,Seilfly
LN-GBG,ASK 13,Alexander Schleicher GmbH & Co. Segelflugzeugbau,1968,13103,480.00,11.09.1968,Seilfly
LN-GBH,LS6,DG-Flugzeugbau GmbH,1985,6022,525.00,20.06.1985,Seilfly
LN-GBK,K8B,Alexander Schleicher GmbH & Co. Segelflugzeugbau,,1,310.00,24.02.2016,Seilfly
LN-GBV,K8B,Alexander Schleicher GmbH & Co. Segelflugzeugbau,1961,1088,310.00,09.04.1976,Seilfly
LN-GBX,ASTIR CS,Grob-Werke Burkhart Grob e. K.,1977,1519,450.00,09.05.1977,Seilfly
LN-GBZ,ASK 21,Alexander Schleicher GmbH & Co. Segelflugzeugbau,2006,21807,600.00,27.02.2006,Seilfly
LN-GCA,ASW 15,Alexander Schleicher GmbH & Co. Segelflugzeugbau,1969,15017,408.00,22.09.2023,Seilfly
LN-GCB,DG-500,Glaser-Dirks Flugzeugbau GmbH,1990,5E23T5,750.00,11.04.2001,Seilfly
LN-GCE,SF 34,Scheibe-Flugzeugbau GmbH,1981,5107,540.00,07.05.2002,Seilfly
LN-GCF,SZD-48-3,,1984,B-1372,540.00,30.05.2002,Seilfly
LN-GCG,LS8-18,Rolladen-Schneider Flugzeugbau GmbH,2002,8430,525.00,06.06.2002,Seilfly
LN-GCI,LS8-t,Rolladen-Schneider Flugzeugbau GmbH,2002,8415,575.00,12.08.2002,Seilfly
LN-GCJ,ASK 21,Alexander Schleicher GmbH & Co. Segelflugzeugbau,2002,21742,600.00,23.07.2002,Seilfly
LN-GCK,ASW 19B,Alexander Schleicher GmbH & Co. Segelflugzeugbau,1977,19083,408.00,23.05.2003,Seilfly
LN-GCM,LS4-B,Rolladen-Schneider Flugzeugbau GmbH,2003,41054,525.00,11.04.2003,Seilfly
LN-GCN,DG-1000S,DG-Flugzeugbau GmbH,2003,10-24 S 24,630.00,04.04.2003,Seilfly
LN-GCP,Duo Discus T,Schempp-Hirth Flugzeugbau GmbH,2003,079,700.00,28.01.2004,Seilfly
LN-GCR,ASH 26 E,Alexander Schleicher GmbH & Co. Segelflugzeugbau,1995,26052,525.00,23.05.2003,Seilfly
LN-GCS,ASK 21,Alexander Schleicher GmbH & Co. Segelflugzeugbau,1991,21520,600.00,05.03.2003,Seilfly
LN-GCU,G103C Twin III-SL,Fiberglas-Technik Rudolf Lindner GmbH Co. KG,1992,35007,710.00,13.06.2003,Seilfly
LN-GCZ,K8B,Alexander Schleicher GmbH & Co. Segelflugzeugbau,1964,8129,310.00,13.09.2004,Seilfly
LN-GDB,ASW 15B,Alexander Schleicher GmbH & Co. Segelflugzeugbau,1974,15382,408.00,19.03.1998,Seilfly
LN-GDE,DISCUS 2b,Schempp-Hirth Flugzeugbau GmbH,2003,170,525.00,04.04.2003,Seilfly
LN-GDF,Standard Cirrus G,Schempp-Hirth Flugzeugbau GmbH,1975,550 G,350.00,22.09.2021,Seilfly
LN-GDG,DG-1000S,DG-Flugzeugbau GmbH,2020,10-280S184,630.00,17.07.2020,Seilfly
LN-GDM,Nimbus-4DM,Schempp-Hirth Flugzeugbau GmbH,1999,36,820.00,15.03.1999,Seilfly
LN-GDW,DISCUS b,Schempp-Hirth Flugzeugbau GmbH,1997,571,525.00,23.04.1997,Seilfly
LN-GEI,LS10-st,Rolladen-Schneider Flugzeugbau GmbH,2009,L10-014,600.00,31.03.2009,Seilfly
LN-GEL,JS-MD 3 RES,M&D Flugzeugbau GmbH & Co. KG,2023,3.MD140,575.00,20.06.2023,Seilfly
LN-GEO,DG-1000S,Volocopter Production GmbH,2023,10-303S202,630.00,26.02.2024,Seilfly
LN-GER,LS8-A,Rolladen-Schneider Flugzeugbau GmbH,1997,8129,525.00,15.05.1997,Seilfly
LN-GES,LAK-17B FES,"JSC ""Sportiné Aviacija""",2014,223,600.00,16.06.2014,Seilfly
LN-GFB,LS4-a,Rolladen-Schneider Flugzeugbau GmbH,1990,4793,525.00,07.04.2025,Seilfly
LN-GFG,HK 36 TTC,Diamond Aircraft Industries GmbH,2009,36.843,770.00,15.06.2011,Seilfly
LN-GFJ,Arcus M,Schempp-Hirth Flugzeugbau GmbH,2021,237,850.00,21.05.2021,Seilfly
LN-GFS,DG-400,DG-Flugzeugbau GmbH,1983,4-60,480.00,06.02.2015,Seilfly
LN-GGD,K8B,Alexander Schleicher GmbH & Co. Segelflugzeugbau,1966,8610,310.00,26.04.1967,Seilfly
LN-GGE,KA6CR,Alexander Schleicher GmbH & Co. Segelflugzeugbau,0,6510/Si,300.00,30.12.2008,Seilfly
LN-GGF,Phoebus B1,Waggon- und Maschinenbau AG,1966,738,434.00,16.07.2021,Seilfly
LN-GGH,SF 34,Scheibe-Flugzeugbau GmbH,1981,5109,540.00,15.04.1987,Seilfly
LN-GGN,B4-PC11AF,Pilatus Aircraft,1977,256,350.00,23.06.1977,Seilfly
LN-GGO,ASTIR CS,Grob-Werke Burkhart Grob e. K.,1976,1198,450.00,12.07.1989,Seilfly
LN-GGP,PIK-16C,,0,19,281.00,01.11.2006,Seilfly
LN-GGR,LS3,Rolladen-Schneider Flugzeugbau GmbH,1977,3052,472.00,10.06.1977,Seilfly
LN-GGU,ASTIR CS77,Grob-Werke Burkhart Grob e. K.,1978,1711,450.00,11.05.1978,Seilfly
LN-GGV,ASTIR CS77,Grob-Werke Burkhart Grob e. K.,1979,1640,450.00,27.05.2015,Seilfly
LN-GGX,HK 36 TTC,Diamond Aircraft Industries GmbH,1999,36607,770.00,19.05.2022,Seilfly
LN-GGZ,K8B,Alexander Schleicher GmbH & Co. Segelflugzeugbau,1972,8913,310.00,23.11.2021,Seilfly
LN-GHA,LS1-F,Rolladen-Schneider Flugzeugbau GmbH,1975,329,390.00,03.08.1979,Seilfly
LN-GHC,ASK 21,Alexander Schleicher GmbH & Co. Segelflugzeugbau,2016,21933,600.00,31.05.2016,Seilfly
LN-GHD,LS3-A,Rolladen-Schneider Flugzeugbau GmbH,1979,3363,472.00,18.06.1991,Seilfly
LN-GHF,Mosquito B,Glasflügel Deutsch-Brasilianische Flugzeug- und Fahrzeugbau GmbH,1979,180,450.00,27.03.1980,Seilfly
LN-GHG,ASTIR CS,Grob-Werke Burkhart Grob e. K.,1976,1182,450.00,29.04.2013,Seilfly
LN-GHK,LS6-A,Rolladen-Schneider Flugzeugbau GmbH,1985,6034,525.00,02.07.1985,Seilfly
LN-GHL,ASW 19B,Alexander Schleicher GmbH & Co. Segelflugzeugbau,1984,19402,408.00,30.03.1984,Seilfly
LN-GHR,T21B,,0,FF 1161,476.00,25.04.1994,Seilfly
LN-GHY,LS6-A,Rolladen-Schneider Flugzeugbau GmbH,1986,6107,525.00,23.12.1986,Seilfly
LN-GIA,L23,Aerotechnik,1998,988409,510.00,04.06.1998,Seilfly
LN-GIB,ASK 21,Alexander Schleicher GmbH & Co. Segelflugzeugbau,1986,21293,600.00,13.05.1986,Seilfly
LN-GID,MISTRAL C,Valentin Flugzeugbau GmbH,1982,MC 050/82,350.00,18.05.1990,Seilfly
LN-GIE,Bergfalke III,Scheibe-Flugzeugbau GmbH,1964,5520,465.00,09.06.1992,Seilfly
LN-GIF,ASK 21,Alexander Schleicher GmbH & Co. Segelflugzeugbau,1992,21554,600.00,17.07.1992,Seilfly
LN-GII,ASW 19B,Alexander Schleicher GmbH & Co. Segelflugzeugbau,1979,19272,408.00,23.03.1987,Seilfly
LN-GIK,LS4-a,Rolladen-Schneider Flugzeugbau GmbH,1988,4720,525.00,15.08.1988,Seilfly
LN-GIM,LS7-WL,Rolladen-Schneider Flugzeugbau GmbH,1989,7028,486.00,23.01.1990,Seilfly
LN-GIN,LS7-WL,Rolladen-Schneider Flugzeugbau GmbH,1991,7127,486.00,25.02.1991,Seilfly
LN-GJA,ASH 26 E,Alexander Schleicher GmbH & Co. Segelflugzeugbau,1998,26138,525.00,10.12.2008,Seilfly
LN-GJP,HK 36 TTC,Diamond Aircraft Industries GmbH,2008,36.805,770.00,07.10.2010,Seilfly
LN-GKD,ASW 28-18 E,Alexander Schleicher GmbH & Co. Segelflugzeugbau,0,28734,575.00,06.04.2010,Seilfly
LN-GKP,T31,,1951,1405-594,376.00,02.01.2009,Seilfly
LN-GLA,ASW 27-18 E,Alexander Schleicher GmbH & Co. Segelflugzeugbau,2013,29664,600.00,26.11.2013,Seilfly
LN-GLB,L-SPATZ,Scheibe-Flugzeugbau GmbH,1954,01,265.00,05.03.1980,Seilfly
LN-GLF,LS4-a,Rolladen-Schneider Flugzeugbau GmbH,1981,4061,525.00,13.04.1981,Seilfly
LN-GLG,LS4,Rolladen-Schneider Flugzeugbau GmbH,1981,4064,472.00,10.09.1981,Seilfly
LN-GLH,LS3-A,Rolladen-Schneider Flugzeugbau GmbH,1980,3365,472.00,19.05.1980,Seilfly
LN-GLI,LAK-17B FES mini,"JSC ""Sportiné Aviacija""",2021,037,350.00,12.08.2021,Seilfly
LN-GLM,Mosquito,Glasflügel Deutsch-Brasilianische Flugzeug- und Fahrzeugbau GmbH,1977,024,450.00,20.03.1986,Seilfly
LN-GLN,Bergfalke IV,Scheibe-Flugzeugbau GmbH,1971,5812,505.00,13.10.1980,Seilfly
LN-GLU,L23,Aerotechnik,1997,978309,510.00,17.09.1997,Seilfly
LN-GLX,G103A,Grob-Werke Burkhart Grob e. K.,1984,3878-K116,580.00,25.09.1984,Seilfly
LN-GMA,JS-MD 3 RES,M&D Flugzeugbau GmbH & Co. KG,2022,3.MD127,575.00,29.06.2022,Seilfly
LN-GMB,PIK-20 E,Eiri-Avion O/Y,1980,20289,470.00,28.04.1981,Seilfly
LN-GMF,SF 25 B,Scheibe Aircraft GmbH,1970,46125,555.00,04.01.2008,Seilfly
LN-GMI,ASK 21 Mi,Alexander Schleicher GmbH & Co. Segelflugzeugbau,2007,21825,705.00,13.09.2007,Seilfly
LN-GMR,Taifun 17 E,Rainer Korff Luftfahrt,1985,1053,820.00,27.06.1985,Seilfly
LN-GMT,IS-28-M2/80HP,S.C. Constructii Aeronautice S.A.,1981,43,760.00,29.05.1981,Seilfly
LN-GMV,PIK-20 E,,1980,20286,470.00,26.11.1986,Seilfly
LN-GMY,H 36,Diamond Aircraft Industries GmbH,1983,3653,770.00,15.03.1989,Seilfly
LN-GNF,LS4,Rolladen-Schneider Flugzeugbau GmbH,1984,4415,472.00,28.02.2008,Seilfly
LN-GNP,LS4-a,Rolladen-Schneider Flugzeugbau GmbH,1985,4529,525.00,26.03.2025,Seilfly
LN-GOJ,JS-MD 3 RES,M&D Flugzeugbau GmbH & Co. KG,2026,3.MD256,575.00,16.03.2026,Seilfly
LN-GOL,DG-1000M,DG-Flugzeugbau GmbH,2018,10-256M32,790.00,14.09.2018,Seilfly
LN-GOR,DG-1000S,DG-Flugzeugbau GmbH,2021,10-285S189,630.00,02.07.2021,Seilfly
LN-GOS,K7,Alexander Schleicher GmbH & Co. Segelflugzeugbau,1961,162/59,484.50,12.06.1995,Seilfly
LN-GPA,DG-300,Glaser-Dirks Flugzeugbau GmbH,1988,3E303,525.00,15.09.1988,Seilfly
LN-GPH,C.30 Edelweiss,Siren S.A.,1967,40,380.00,14.12.2011,Seilfly
LN-GPL,SDZ-24-4A FOKA 4,,1967,W-352,385.00,26.06.2006,Seilfly
LN-GPM,SHK-1,,1966,19,370.00,04.05.2011,Seilfly
LN-GPN,Sie-3,Paul Siebert Sport und Segelflugzeugbau,1968,3025,340.00,05.03.2012,Seilfly
LN-GPO,DISCUS b,Schempp-Hirth Flugzeugbau GmbH,1990,334,525.00,05.02.1999,Seilfly
LN-GPS,Discus bT,Schempp-Hirth Flugzeugbau GmbH,1995,155,450.00,07.12.1995,Seilfly
LN-GQB,SZD-59,Polskie Zakłady Lotnicze Sp. Z o. o.,2014,590.A.14.015,540.00,23.11.2023,Seilfly
LN-GRA,ASK 21,Alexander Schleicher GmbH & Co. Segelflugzeugbau,2009,21856,600.00,06.01.2010,Seilfly
LN-GRF,Fournier RF 4D,Sportavia Pützer GmbH & Co KG,1968,4078,390.00,23.03.2023,Seilfly
LN-GRH,Ventus-3M,Schempp-Hirth Flugzeugbau GmbH,2022,177MP,600.00,01.06.2022,Seilfly
LN-GRY,Fournier RF 5,Sportavia Pützer GmbH & Co KG,1972,5113,650.00,05.05.1997,Seilfly
LN-GSD,HK 36 TTC,Diamond Aircraft Industries GmbH,2008,36.817,770.00,08.08.2008,Seilfly
LN-GSF,Duo Discus T,Schempp-Hirth Flugzeugbau GmbH,2003,87,700.00,02.01.2014,Seilfly
LN-GSH,ASH 26 E,Alexander Schleicher GmbH & Co. Segelflugzeugbau,1996,26102,525.00,05.05.2009,Seilfly
LN-GSK,DG-505MB,Glaser-Dirks Flugzeugbau GmbH,2000,5E192MB7,630.00,16.05.2006,Seilfly
LN-GSL,Taifun 17 E,Rainer Korff Luftfahrt,1984,1022,820.00,09.07.2009,Seilfly
LN-GSS,Ventus-2cT,Schempp-Hirth Flugzeugbau GmbH,1998,34,500.00,26.02.1999,Seilfly
LN-GSW,ASW 15B,Alexander Schleicher GmbH & Co. Segelflugzeugbau,1972,15244,408.00,04.04.1997,Seilfly
LN-GTA,B4-PC11AF,Pilatus Aircraft,1974,111,350.00,12.08.2011,Seilfly
LN-GTB,CARAT A,MAG letalstvo d.o.o.,2024,CA037,490.00,15.10.2024,Seilfly
LN-GTE,ASW 20,Alexander Schleicher GmbH & Co. Segelflugzeugbau,1980,20325,454.00,19.06.1991,Seilfly
LN-GTH,STD Cirrus B,Schempp-Hirth Flugzeugbau GmbH,1974,416,390.00,11.09.2006,Seilfly
LN-GTI,Grunau Baby 2B,Rolladen-Schneider Flugzeugbau GmbH,1952,504,250.00,30.05.1990,Seilfly
LN-GTL,Slingsby - T31,Slingsby Aviation Ltd.,1952,850,377.00,25.04.2014,Seilfly
LN-GTR,LAK-17B FES mini,"JSC ""Sportiné Aviacija""",2016,002,350.00,07.12.2017,Seilfly
LN-GTT,LS8-A,Rolladen-Schneider Flugzeugbau GmbH,1998,8177,525.00,11.03.1998,Seilfly
LN-GUD,SZD-59,Polskie Zakłady Lotnicze Sp. Z o. o.,2014,590.A.14.016,540.00,20.10.2014,Seilfly
LN-GUF,ASW 20,Alexander Schleicher GmbH & Co. Segelflugzeugbau,1981,20441,454.00,25.02.2015,Seilfly
LN-GWS,PW-5,PZL Swidnik SA,1996,17.05.011,300.00,30.07.1996,Seilfly
LN-GXL,LAK-20T,Sportine Aviacija,2008,004,850.00,28.04.2008,Seilfly
LN-GXT,Duo Discus T,Schempp-Hirth Flugzeugbau GmbH,2008,187,750.00,25.08.2008,Seilfly
LN-GAA,PIK-3B,Eiri-Avion O/Y,1973,1,232.00,21.03.1974,Seilfly
LN-HAF,PA-22-150,"Piper Aircraft, Inc.",,22-7359,907.00,10.05.2021,Fly
LN-HAH,210L,Textron Aviation Inc.,1975,21060751,1724.00,05.05.1975,Fly
LN-HAI,U206F,Textron Aviation Inc.,1976,U206-03058,1633.00,25.05.1992,Fly
LN-HAN,PA-28-140,"Piper Aircraft, Inc.",1964,28-20353,976.00,27.03.1965,Fly
LN-HAR,PA-18,"Piper Aircraft, Inc.",1952,18-1566,680.00,21.02.1989,Fly
LN-HAU,PA-18A-150,"Piper Aircraft, Inc.",1959,18-6642,794.00,18.03.1997,Fly
LN-HAV,PA-18A-150,"Piper Aircraft, Inc.",1960,18-7247,794.00,10.07.2008,Fly
LN-HAW,150F,Textron Aviation Inc.,1966,150-62678,726.00,18.11.2022,Fly
LN-HDA,YAK-52,Aerostar SA,1991,9111505,1305.00,02.06.2014,Fly
LN-HEI,PA-34-200T,"Piper Aircraft, Inc.",1979,34-7970106,1999.00,18.01.2022,Fly
LN-HFK,177RG,Textron Aviation Inc.,1978,177RG1325,1270.00,17.06.2019,Fly
LN-HHO,PA-18-150,"Piper Aircraft, Inc.",1952,18-1450,794.00,11.05.1978,Fly
LN-HHS,91B,SAAB-Scania AB,1952,91-210,1165.00,06.07.2010,Fly
LN-HJD,Europa XS Monowheel,Europa Aircraft,2010,334,622.00,08.09.2010,Fly
LN-HLL,Turbo Shark 600 EXP,Shark Aero s.r.o,2025,163,600.00,13.03.2025,Fly
LN-HMB,PA-34-220T,"Piper Aircraft, Inc.",2007,3449368,2155.00,20.03.2017,Fly
LN-HOE,U206G,Textron Aviation Inc.,1979,U206-05143,1633.00,24.08.1979,Fly
LN-HOF,F172 N,Reims Aviation S.A.,1979,F172-1896,1043.00,13.08.1979,Fly
LN-HOG,172N,Textron Aviation Inc.,1979,172-72740,1043.00,30.08.1979,Fly
LN-HOK,114,Rockwell International,1976,14111,1424.00,29.04.1979,Fly
LN-HOO,TU206G,Textron Aviation Inc.,1980,U206-05490,1633.00,01.04.1980,Fly
LN-HOT,S-2C,"Aviat Aircraft, Inc.",2004,6060,771.00,14.07.2021,Fly
LN-HOX,F172 N,Reims Aviation S.A.,1980,F172-2029,1043.00,21.08.1980,Fly
LN-HPB,LONG-EZ,Rutan Aircraft Factory INC,1983,0190,602.00,02.06.1983,Fly
LN-HPC,AA-5A,Gulfstream Aerospace Corporation,1979,AA5A-0841,999.00,27.09.1982,Fly
LN-HRB,Harmon Rocket II,David Richey,2004,3870,900.00,17.03.2011,Fly
