registration,type,construction_no,year_mfr,year_reg,icao,notes
OY-DFB,de Havilland DHC-1 Chipmunk Mk.22,C1/0205,1950,1967-1982,DHC1,"WB756, G-AOJR, D-EGIM, G-AOJR, D-EGIM, OY-DFB, SE-BBS, G-AOJR, F-AZME, F-AYME"
OY-BVI,Beech 1900C-1 Airliner,UC-55,1989,"1989-1992 
1995-1996",B190,"N15031, OY-BVI Sataircraft, Business Flight Services, OK-UEA, OY-BVI Aviation Assistance, 5Y-BVI, VH-YSO"
OY-BJL,Reims Cessna F.172N Skyhawk,F17201654,1977,1978-2005,C172,"OY-BJL, EC-JME, wfu 2021"
OY-ASI,Beech 65-C90 King Air,LJ-723,1977,1977-1981,BE9L,"OY-ASI, SE-IIB, S5-CEE"
OY-AGE,Reims Cessna F.172H Skyhawk,F1720491,1967,1968-1977,C172,"F-BPEO, OY-AGE, SE-GUD, SP-   , RA-67551, + 02.08.20 Streltsovo near Kaliningrad-Waldau"
OY-CLV,Aeritalia/SNIAS ATR 72-500 (72-212A),789,2008,2013-2013,AT75,"F-WWEH, 4K-AZ65, OY-CLV NAC Nordic Aviation Capital A/S, F-GVZT, OY-JZV NAC Aviation 8 Limited, Jettime ""Gudlög Viking"", OK-NFU, 9H-AIU, oph"
OY-MMS,Fokker F.27 Mk.50,20148,1989,1989-2003,F50,"PH-EXU, OY-MMS Maersk, Newair, YL-BAW, SE-MFC, fire trainer at Bysjön, Sweden 2014"
OY-MMU,Fokker F.27 Mk.50,20153,1989,"1989-1998,
1999-1999",F50,"PH-EXN, OY-MMU Maersk Air, G-BYBT, OY-MMU Maersk Air, ES-AFM, YL-BAZ, OE-IRJ, G-IRJA, scrapped 2017"
OY-AKE,Reims Cessna FA.150L Aerobat,FA1500100,1970,1971-2013,C150,"OY-AKE, SE-MCP, broken up 2017 after mishape at Malmø/Sturup 14.5.17, on display at Stenbäcks Flygmuseum, Skurup, Sweden"
OY-9391,Roland S-Stol Sky Jeep,S-9780,2009,2010,CH70,
OY-KPV,Learjet 40,45-2064,2005,(2007) painted by mistake,LJ40,"N5000E, N540LH, (OY-KPV), N34AG,  OY-KVP, OO-HRG"
OY-MBB,Beech 65-C90 King Air,LJ-848,1979,1979-1983,BE9L,"OY-MBB Maersk, Midtfly, G-BKNC, PH-DMJ, N438CA, N5397W, N584NR, N584PM, (N317EC), TR-LCS, Z-LCS
Sl 7.98"
OY-BFP,Reims Cessna F.172M Skyhawk,F17201104,1974,1974-2021,C172,"OY-BFP, PH-EFA"
OY-AUK,Beech 200 Super King Air,BB-199,1976,1980-1980,BE20,"N525BC, N32KA, N33DS, N83DS, OY-AUK  ""Betty Boop"", LN-PAD, F-GNPD, 5R-MKQ"
OY-AUF,Beech 100 King Air,B-62,1970,1980-1981,BE10,"D-IAVW, (OY-ASO), LN-VIT, OY-AUF, SE-IIE, LN-NLB, C-GKBQ, C-FBIU, B/U 2018"
OY-FUN (2),Interavia I-3,209,1998,2005R,,"N195GC, N222XS, N81550, OY-FUN ""Il Tempo Gigante"", N81550, C-FMIO, +23.3.15 near Kelliher, SK"
OY-SHB,Boeing 757-2J4,"25220
387",1991,1991-1994,B752,"N35108, OY-SHB Sterling Airways, VR-CAU, VP-CAU, N770BB, wfu 2019"
OY-LJM,Learjet 60,60-060,1995,2001-2003,LJ60,"N50602, N209FX, OY-LJM Flexjet Europe, N175BA, N909SK, N604SL, broken up"
OY-HFA,Robinson R22 Beta,0854,1988,1988-1990,R22,"OY-HFA, EC-EVN, wfu 2021"
OY-HEY,Aerospatiale AS.350B2 Ecureuil,2904,1993,1996-2002,AS50,"N4027Q, OY-HEY Grønlandsfly, Air Greenland A/S, N4027Q, N894NA,C-GETT"
OY-FXY,Schempp-Hirth Duo Discus,202,1999,(2018) 2021,,"D-4021, OY-FXY"
OY-DZD,Piper PA-28-140 Cherokee F,28-7325226,1973,1973-2005,P28A,"LN-DBJ, OY-DZD, EC-JMM, wfu 2021"
OY-DFD,Mooney M.20F  Executive 21,670327,1967,1967-2021,M20P,"N2968L, OY-DFD, F-HLPO"
OY-BVW,Beech 200 Super King Air,BB-705,1980,1987-2013,BE20,"G-GKNB, D-IBAB, OY-BVW, N705ML, cnl 2021"
OY-BVD,Beech 65-F90 King Air,LA-4,1979,1986-1989,BE9T,"N66489, N64JB, OY-BVD, N24MK, N1DE, N1HE, N502SP, HB-GJQ, N502SP, HB-GJQ, ZS-OVK, PR-ECS"
OY-AXS,Akaflieg München Mü 13E  Bergfalke II,01,1954,1955-1980,,"Dansk Veteranflysamling, Stauning, DaSK, exhibited on Orø since 30.3.2021"
OY-VKB,Airbus A321-211,1921,2003,2003-2014,A321,"D-AVZQ, OY-VKB MyTravel Airways, Thomas Cook Airlines Scandinavia A/S, G-TCDW, C-GTXW, G-TCDW, F-WTAH, 6V-AMD"
OY-SGM,Canadair CL-600-2B16 Challenger,5596,2004,2005-2009,CL60,"C-GLWR, C-FCSD, OY-SGM Execujet Scandinavia A/S, RA-67222, N605AM, N317RA"
OY-LLE (1),Aero Designs Pulsar XP 912,96/03-474,2000,2003-2020,PULS,"OY-LLE ""Elskerinden"", F-PLSR"
OY-JRN (1),Beech 200 Super King Air,BB-364,1978,1998-2008,BE20,"N18450, XC-DIK, N66171, F-GHYV, OY-JRN Danish Air Transport, EC-KNT, TI-BFC, YS-904P"
OY-GCF,Cessna 340A,340A-0224,1977,2003-2021,C340,"N3894G, OE-FLV, D-ILMW, OY-GCF Nordisk Flyhandel ApS, SE-MGU"
OY-ATS,Beech A100 King Air,B-185,1973,1976-1978,BE10,"N567DC, OY-ATS, N567DC, N81CC, N337K, F-GSAR, N818AS, N220KW, N270KW, XA-"
OY-HFD(1),Robinson R22 Beta,1479,1990,(1991),R22,"(OY-HFD), D-HMZB, crashed near Egelsbach, cancelled 8.12.1995"
OY-BVG,Beech 1900C-1 Airliner,UC-40,1988,"1988-1991 
1992-1992",B190,"N31101, OY-BVG Business Flight Services, OH-BPA, OY-BVG, F-GLPJ, A6-FCX, TN-AIQ"
OY-HKG,Robinson R44 Clipper II,11129,2006,2006-2020,R44,"OY-HKG, OE-,(D-HEFA(3)), SE-JTJ. OH-HOL"
OY-PKA,Piper PA-34-220T Seneca V,3449352,2007,2007-2008,PA34,"N9518N, OY-PKA Air Alpha Aircraft Sales A/S, LN-FTC, YR-OLY"
OY-EBU,Acro Sport II,0791,2020,2020,ACR2,
OY-8-200,First Strike Jazz 2000,0506P29,,2009,,"8-200, OY-8-200"
OY-9487,Aeroprakt A22,,,,,
OY-9482,Aeroprakt A22,,,,,
OY-9475,Fantasy Air Cora Allegro,,,,,
OY-9472,Ikarus C42B,,,,,
OY-9483,Flight Design CTsw,,,,,"SE-VGS, LN-YNE, OY-9483"
OY-9467(1),Shark Aero,042/2016,,2016-2018,SHRK,"OY-9467, F-JBCF, crashed Le Havre 16.11.18"
OY-9467(2),Shark Aero,062/2018,,2018-2019,SHRK,"OY-9467, PH-4S6"
OY-ZIX,GlasflÃ¼gel H.205 Club Libelle,12,1974,2021,,"D-9465, OY-ZIX"
OY-SFX(2),Glaser-Dirks DG-100G Elan,E180G146,1985,2021,,"D-4909, OY-SFX/F2"
OY-9942,Cosmo Ikarus C 42B,0807-6968,,,,"D-MKIL, OY-9942"
OY-9515,Flight Design CTSW,,,,,"D-MDBC, OY-9515"
OY-XZX,Schempp-Hirth  Ventus 2cT,98-285,2002,2006-2020,VENT,"D-KKWI, OY-XZX competition number ZX, D-KBYE"
OY-XNZ,Grob G-103 Twin II,3643,1981,1985-2020,,"D-6157, OY-XNZ, competition number NZ, damaged 27.5.18 Vedsø near Viborg (EKVB), D-8122"
OY-POE,Cessna 182P Skylane,18261335,1972,1976-2012,C182,"N20977, G-BAFJ, OY-POE Aerocenter ApS, D-EJPZ, G-MATW, D-EMTV"
OY-LAR,Piper PA-46-350P Malibu Mirage,4636155,1998,2001-2003,PA46,"N1280K, N4129D, OY-LAR, G-GREY, D-ELBX"
OY-KKN,Boeing 737-883,"30469
673",2000,,B738,"N1786B, (OY-KKN), (SE-DYC),  LN-RPL, (OY-KKN), LN-RPL SAS ""Svanevit Viking"", wfu and stored Marana 2019, broken up 2021"
OY-KKH,Boeing 737-683,"28301
227",1999,1999-2008,B736,"N1795B, (LN-RPD), OY-KKH SAS ""Embla Viking"", LN-RRD, broken up 2021"
OY-JFB,Cessna 172RG Cutlass RG II,172RG0327,1980,2013-2018,C72R,"N5295U, OH-CVS, D-EJFM, OY-JFB Jebo Invest ApS, OK-JOE, dameged 28.2.2021 South West of Brno, Czech Republic"
OY-HSL,Eurocopter EC155 B1 Dauphin,6658,2003,2003-2018,EC55,"OY-HSL DanCopter A/S, (D-HBGB(2)), G-CKVB, D-HNHE, G-CKVB, PH-HHM"
OY-HPC,Robinson R22 Beta II,4294,2008,2008-2021,R22,"OY-HPC Billund Air Center A/S, N3458"
OY-CKR,Piper PA-31-350 Chieftain,31-7652124,1976,2006-2021,PA31,"N59899, G-BFDN, ZS-NWV, OY-CKR COWI A/S, F-HGEX"
OY-CGN(2),McDonnell-Douglas MD-82,49901/1766,1990,2020-2021,MD82,"N6262S, I-SMER, OY-CGN, EP-TAT"
OY-AMR,Druine D.31 Turbulent,2/282,1963,"1963-1980 
1985-2010
(2018)",D31,"Damaged 20.5.1972 Korup, to be restored and converted to fly with a EMRAX electrical engine"
OY-PCL,Beech B200 Super King Air,BB-1675,1999,1999-2021,BE20,"N2355Z, OY-PCL Air Greenland A/S ""Amaalik"", PH-ZDZ"
OY-HMS (1),MD Helicopters MD-902 Explorer,900-00132,2008,2009-2010,EXPL,"N40216, OY-HMS CASA Air A/S, OO-POI/G-16/OT-GIF Belgium Gendarmerie"
OY-GEP(1),Beech 58 Baron,TH-1763,,(1996),,"N1063G, (OY-GEP), 5N-CAZ"
OY-GJA,Rans S-10E Sakota,0790109,,1993-1995,SAKO,"9-117, OY-GJA, damaged Odense (EKOD) in 1998, D-MUHS"
OY-XAJ(1),FES 530/1 Lehrmeister,0251,1959,1962-1972,,Crashed 6.8.1967 Sennels
OY-YDS,Embraer ERJ 190-100 IGW,19000085,2007,2021,,"PT-SND, C-FHNY, N752BC, 4L-TGH, OY-YDS"
OY-YAL,Aeritalia/SNIAS ATR 42-500,534,1997,"2015-2016
2020",AT45,"F-WWLF, 3B-NBA, DQ-PSB, OY-YAL NAC Aviation 8 Limited, SX-GRI, OY-YAL"
OY-XXK(2),Schempp-Hirth HS-5 Nimbus 4M,,,(2005),,
OY-XAJ(2),Schleicher ASW 19,,,2020 (R),,competition number AJ
OY-UEX(2),Schempp-Hirth Duo Discus,,,2020,,competition number UE
OY-UEX(1),Rolladen-Schneider LS4-a,4398,1984,(2006),,"OH-714, SE-UEP, (OY-UEX), G-CKNS"
OY-TPJ (1),Piper PA-46-350P Malibu Mirage,4636327,2002,2008-2009,PA46,"N5349V, N350PM, PH-RHB, OY-TPJ 2CAP Invest ApS, G-PTEA, D-EREK(4), D-EKCC(3), G-LAPW"
OY-SVU,British Aerospace ATP,2063,1993,1997-2006,ATP,"G-11-063, G-BWYT, HL5228, G-BWYT, OY-SVU Sun-Air ""Wings"", ""Vinger"", SE-LPX, LX-WAX, SE-LPX, wfu 2021"
OY-SVT (2),British Aerospace ATP,2062,1993,1998-2006,ATP,"G-11-062, OY-SVT Sun-Air ""Colum"", SE-LNY, (LX-WAJ), SE-LNY, wfu 2021"
OY-SPB,Bombardier BD100-1A10 Challenger 300,20334,2011,2015-2021,CL30,"C-GLLF, OH-STP, OY-SPB ExecuJet Europe A/S, N334JE"
OY-ROC,KubÃ­cek BB9K,1759,2020,2021,,
OY-LJN,Learjet 31,31A-170,1999,(2002),LJ31,"N31NR, (OY-LJN), (ZS-DHL), ZS-OML, N833KC, T7-TFC"
OY-KKK,Boeing 737-783,"28314
458",1999,,B737,"(SE-DTI), (OY-KKK), N1786B, SE-DTI SAS ""Erland Viking"" LN-RRM, stor Pinal Air Park, AZ 2021"
OY-JEV,Cessna 551 Citation II,550-0284,1981,1992-2021,C551,"N6801R, I-ARIB, OY-JEV, SE-RMI"
OY-JCN,McDonnell-Douglas MD-82,49531/1362,1987,2020-2020,MD82,"I-SMET, OY-JCN, DAT, EP-MDZ"
OY-HYP,Robinson R44 Raven I,1951,2008,2008-2013,R44,"OY-HYP M.C. Gadeberg Holding ApS, OH-HYP, N11RA"
OY-HRL,Robinson R22 Beta II,3681,2004,2009-2015,R22,"G-CDBF, (OY-HRL), G-CDBF, OY-HRL, N848AK, ZT-REF, Dbr 23-6-2020 at Wonderboom Airport, South Africa"
OY-HPW,Rotorway EXEC 162F,2008-06/7090,2013,2013,EXEC,
OY-HGM,Aerospatiale AS.350B3 Ecureuil,3677,2003,2005-2006,AS50,"LN-OMA, OY-HGM Air Greenland A/S, LN-OMA, EC-KDO, CC-ARK, W/o 9.2.2017 during power-line inspection at Los Toros, Maule, Chile"
OY-HFP,Agusta Westland AW139,41501,2015,2015-2015,A139,"N268MM, OY-HFP Ulfur Helicopter Iceland efh, D-HOAD(2), VH-QOZ, PR-OHY"
OY-HDO (2),Sikorsky S-61N,61740,1974,1993-2002,S61,"LN-OSU, OY-HDO Grønlandsfly, G-CBWC, EI-CZN, N810AR, HL9645"
OY-HAR,"Sikorsky S-58ET (HUS-1, UH-34D)",581659,1963,1973-1978,S58T,"BuAe 150257, N4391S, OY-HAR Grønlandsfly ""Kangoq"" (snegåsen), N2295W, PT-HJR, W/o 14.6.1980 in the sea off Macau, Brazil"
OY-FTR,Beech 200 Super King Air,BB-309,1977,(1996),BE20,"G-BEUZ, D-ILNY, OY-PEB, 5Y-NUR, (OY-FTR), OY-PEB, LN-ULV, AP-BKU"
OY-PEB(1),Beech 200 Super King Air,BB-309,1977,"1989-1994
1996-2012",BE20,"G-BEUZ, D-ILNY, OY-PEB, 5Y-NUR, 
(OY-FTR), OY-PEB, LN-ULV, AP-BKU"
OY-FMA,Grumman GA-7 Cougar,GA7-0089,1979,2010-2021,GA7,"N798GA, HB-LKG, OY-FMA, SE-MIY"
OY-EXM(2),Schleicher AS 33,,,2020 (R),,competition number EM
OY-ELW,Mooney M.20R Ovation,29-0045,1995,1999-2014,M20P,"G-BVZY, OY-ELW, OE-KGG (2), G-BVZY, EI-GRY"
OY-EDP,Cessna 650 Citation III,650-0014,1984,2007-2021,C650,"N1305V, (N1306B), (N664RB), N650CJ, C-GHOO, OE-GCN, (N855DH), OE-GCN, OY-EDP VIP Partnerfly K/S, Dbr"
OY-DLW,Piper PA-32-300 Cherokee Six,32-40731,1969,1975-1991,PA32,"N8931N, D-EHMW, OY-DLW, G-DIWY, Dbr 23.6.2020 at North Coates, UK"
OY-BLA,Piper PA-28-180  Cherokee Archer,28-7505234,1975,1975-2020,P28A,"OY-BLA, D-EDVU(2)"
OY-AHD,Reims Cessna F.172H Skyhawk,F1720473,1967,1968-2009,C172,"OY-AHD, (LY-), YL-SKR, UR-AVR"
OY-DRW (2),Dassault Falcon 7X,238,2014,2021,FA7X,"F-WWNC, OE-IPW, OY-DRW"
OY-9498,Aeroprakt A-22L2,351,,2019,,
OY-APK,Boeing 737-2L9,"21686
550",1978,"1979-1981 
1982-1982
1984-1984",B732,"OY-APK Maersk, 9M-MBY, OY-APK, PP-SNK, OY-APK, PP-SNK, PT-WBC, EI-CHC, TF-ABU, ZS-NLN, V5-ANB, ZS-OKF, V5-ANB, Stored Johannesburg 2007, scrapped 2009"
OY-BVP(2),Bölkow Bö 208C Junior 3,588,1965,1997-2021,JUNR,"D-EJNE, OY-BVP(2), SE-BVP"
OY-LFA,Cessna S550 Citation S/II,S550-0018,,(2006),C550,"(N1259K), N501NB, N814CC, N1AF, N145AF, (OY-LFA Executive Jet Services), N627X, N614JK"
OY-TWO(1),Pilatus PC-12/47,863,2007,2008-2012,PC12,"HB-FSV(7), OY-TWO Anpartsselskabet af 19/9 2006, N863BD, N126AL"
OY-NUB,Cessna U206G  Stationair 6,U20605944,1981,1990-1994,C206,"N6552X, LN-NFC, OY-NUB, G-BVUB, N206GD, C-FNGD, N288ZK, crashed 22.8.2020 at Government Cut, Biscayne Bay, Miami, USA"
OY-DQX,Hütter H 28 Kurier,,,,,
OY-YDQ,Embraer ERJ-190-100 IGW,1900083,2007,2021,E190,"PT-SNA, C-FHNX, N754BC, 4L-TGV, OY-YDQ"
OY-YDP,Embraer ERJ-190-100 IGW,1900064,2007,2021,E190,"PT-SJC, C-FHKS, N694BC, 4L-TGU, OY-YDP"
OY-HXJ (2),Schempp-Hirth Ventus 2cM,54/108,1998,2021,VENT,"D-KMRV, OY-HXJ (2)"
OY-MBV,Boeing 737-2L9,"22735
825",1981,1981-1990,B732,"OY-MBV Maersk Air. Damaged 24.3.89 Rønne, N164PL, B-2529, N164PL, PK-RIR, stored Jakarta CGK 2006, ZS-GAV, TR-DAL, stored, Skyhawk hangar Lanseria for instructional airframe"
OY-XVE(1),Schleicher ASW 24,24212,1993,1999-2011,,"D-6962, OY-XVE, competition number VE, D-6962, PH-1639"
OY-III,Reims Cessna F.172H Skyhawk,F17200377,1966,1994-2005,C172,"OH-CSQ, SE-EXB, OY-III, D-EDEE, wfu Mainz, Germany 10.2020"
OY-HLP,Robinson R44 Clipper II,10191,2003,2003-2020,R44,"OY-HLP, SE-JVZ"
OY-PCM,Beech C90GTi King Air,LJ-1889,2008,2008-2013,BE9L,"N3289Z, OY-PCM, N50GN, D-IDKH(2), N952WP, N904MW"
OY-EGE,Learjet 24,24-124,1966,1966-1973,LJ24,"N462LJ, OY-EGE Egetæpper A/S, Business Jet Flight Center A/S, SE-DCU, N252DL, XA-RTV, N991TD, ground instructional airframe at Universiti Tun Hussein Onn Malaysia (UTHM), Kuala Lumpur, Malaysia since 2013"
OY-AYU,American AA-5 Traveler,AA5-0262,1972,1973-1980,AA5,"OY-AYU, LN-LMO, wfu in 2011 at Rakkestad, sold in 2020 as a play item"
OY-AKG,Cessna 182N Skylane,18260163,1969,1970-2002,C182,"N92342, OY-AKG, SE-LOB Gotlands Fallskärmsklubb, UR-SVE"
OY-ATF,de Havilland DHC-1 Chipmunk Mk.22,C1/0256,,"2001-2008
2008-2020",DHC1,"WD319, EI-AHV, G-AOZJ, HB-TUE, OY-ATF ""Igor"", Flyveklubben WD319, F-AYDC"
OY-AMV,Jurca M.J.2D Tempete,81,1971,1971-1982,MJ2,"OY-AMV, (SE-XFF), crashed 1.7.1984 Ullfors, Tierp, SE-XFF, WFU 1994"
OY-HPV,Airbus EC 175B,5026,2017,2017-2020,EC75,"OY-HPV, G-NHVJ"
OY-AAY,Klemm L.25e VII,818,1934,1948-1959,KL25,"D-EHAS, SE-ANE, OY-AAY, broken up 1959 Kastrup"
OY-AMI,Stark Turbulent D,126,1959,1959-1961,D31,"D-ENEZ, OY-AMI, SE-CMW, crashed 16.10.1962 Torsby.  Cancelled 1967"
OY-YCY,De Havilland Canada DHC-8-402Q Dash 8,4184,2008,2020-2020,DH8D,"C-FNEI, N509LX, C-GARX, HB-JIJ, (D-AMHA), D-ABQL, OY-YCY NAC, P2-PXR"
OY-TWO(2),Pilatus PC-24,133,2019,2019-2020,PC24,"HB-VUH, OY-TWO(2, LX-VGF"
OY-RAD (2),Dassault Falcon 8X (7X Mod 1000),478,2020,2020,FA8X,"F-WWQQ, OY-RAD (2)"
OY-JGM,Piper J3F-65 Cub (L-4D),9059,1942,2020,J3,"NC42013, 43-2914, NC46448, N46448, HB-OWX, OE-ABF, D-ELSU, (OY-ANK), OY-JGM"
OY-CCH (2),Canadair CL-600-2B16 (Variant 604) Challenger 605,5765,2008,2021,CL60,"C-FUAU, N605FH, C-FYTZ, VQ-BDG, M-ASHI, OY-CCH (2)"
OY-JRV (1),Beech 1900D Airliner,UE-338,1998,1998-2007,B190,"N23381, OY-JRV Danish Air Transport, N338RH, PK-TVE, F-HBCJ"
OY-BIR,Cessna 402B,402B0875,1975,"1975-1975, 1983-1994",C402,"N5788J, OY-BIR, SE-GKV, OY-BIR, TF-SUD, TF-JVB, HA-BIK"
OY-MBR,Canadair CL-600-2B19 Regional Jet CRJ-200LR,7248,1998,2000-2003,CRJ2,"C-FMMN, G-MSKM, OY-MBR Maersk Air, G-MSKM, G-DUOH, S5-AAI, LY-ZAB, RA-67247, EP-PAD"
OY-CGN(1),Mitsubishi MU-2B-60 Marquise,755SA,1979,1986-1988,MU2,"N176MA, OY-CGN, SE-KGO, N755AF, crashed 14.5.2004 on approach to Baltimore Washington BWI"
OY-ECG,Auster J/4 Archer,2071,1946,"1974-1983 
1984-2004",AUJ4,"G-AIJO, LX-REX, D-ECYS, D-EFYW, OY-ECG, restoration in Middelburg/Midden-Zealand, Netherlands"
OY-EJJ,Epervier Ex 582,001,1992,2001,EPER,"OO-EPB, F-59HZ, OO-EPB, OY-EJJ"
OY-9977,Blackwing BW 600RG,014,,,BW60,"SE-V14, OY-9977, damaged 16.4.2021 Karup (EKKA)"
OY-CDA,SOCATA TB-9 Tampico,263,1982,1984-1999,TAMP,"LN-KLL, OY-CDA, TF-BRO, SE-LMC, ES-HSB, SE-LMC damaged 26.1.2020 Hamar ENHA, Norway, D-ELFZ reserved"
OY-BXF,Avionautica M-100S-V,055,1965,"1965-1981, 
1982-2002",,"OY-BXF competition number XF, PH-1177, HB-511, LN-GPR"
OY-ZMA,Piper PA-28-181 Archer II,28-7790293,,(2009),P28A,"N9587N, D-EHAB(2), (OY-TBA), (OY-ZMA), D-EHAB(2),"
OY-9376,ICP MXP-740 Savannah VG,08-09-51-763,2008,2008-2011,SVNH,"OY-9376, LN-YZU, +10.7.20 Meråker"
OY-EXJ,Schleicher ASK 13,13585,1978,2017,,"D-7957, OY-EXJ competition number EJ"
OY-ZWO (2),Dassault Falcon 2000LX,0196,2010,2010-2013,F2TH,"F-WWGO, OY-ZWO Anpartsselskabet af 19/9 2006, OO-VRO, N813V"
OY-OAA,Raytheon Hawker 800XP,258645,2003,2007-2009,H25B,"N645XP, N733K, N618AR, OY-OAA Execujet Scandinavia A/S, HB-VOT, M-HSXP, RA-02794"
OY-MBM,Fokker F.27 Mk.50,20103,1987,1994-1996,F50,"PH-DMO, OO-VLC, PH-DMO, OY-MBM Maersk, PH-DMO, SX-BTI, PH-DMO, VT-CAA, SE-LJV, 5Y-DDI"
OY-CAV,SOCATA Rallye 110ST Galopin,3253,1979,1979-1988,RALL,"OY-CAV, G-BPJD, SP-GCE, LZ-SEX,"
OY-CIR,Aeritalia/SNIAS ATR 42-310,107,1988,"1997-2015
2020",AT43,"F-WWEE, EI-BXR, F-GHPX, TF-ELI, F-GHPX, OY-CIR Cimber Air, Danish Air Transport, (PH-ISB?), OY-CIR, SX-LOS, OY-CIR"
OY-CIP,Aeritalia/SNIAS ATR 72-211,147,1989,2002-2005,AT73,"F-WWET, N974NA, EI-CBC, EC-GQS, PH-SCY, EI-CBC, OY-CIP  Cimber Air, SE-LVK, EC-JQF, G-CLNK"
OY-HOM,Eurocopter EC225 LP Super Puma,2838,2012,2012-2018,EC25,"OY-HOM DanCopter A/S, F-GSXG, VP-CAA, N251EV,"
OY-ASB(1),Beech 95-B55 Baron,TC-2011,1976,1976-1986,BE55,"OY-ASB, SE-IXG, G-BXDF, G-DGST"
OY-ASA(1),VFW 614,G08,1975,1976-1979,VF14,"D-BABH, OY-ASA Cimber Air, D-BABH, Lemwerder, Bremen, Erprobungsstelle ESt 9, Meppen 2.1981. Broken up."
OY-XDJ,Grob G-102 Astir CS,1079,1975,1976-2013,,"OY-XDJ competition number E7, N714G, dbr (during trailer transport) in a road accident near Clayton, DE in 2014"
OY-TTC,Beech B60 Duke,P-482,1978,1993-1997,BE60,"N2060N, OO-JON, OY-TTC, N841TC, N486RK, C-GBRI"
OY-SVA,Mooney M.20J  Mooney 201LM,24-1618,1987,1987-1993,M20P,"OY-SVA, (N7067R), N93201, N17PM"
OY-SUZ,Cessna T303 Crusader,T30300268,1984,1984-1992,C303,"N1568V, OY-SUZ, D-IMLA, N303NN, CP-"
OY-SAY,Sud SE-210  Caravelle 10R,255,1969,1969-1971,S210,"OY-SAY Sterling Airways, HB-ICO, F-GGKD,  HL-3913X, HK-3939X, HK-3948X, HP-1476, N37PV, broken up in 2006 as HK-3948X"
OY-KHK,McDonnell-Douglas MD-81/-82,"49910
1638",1989,1989-2005,MD82,"OY-KHK SAS ""Roald Viking"", N866GA, (N866ZX) WFU and stored 11-2018 Birmingham AL"
OY-JEL,Piper PA-46-350P Malibu Mirage,4622174,1995,(1995),PA46,"(OY-JEL), N8W, N775RD, N794MM,"
OY-JEA,Piper PA-46-350P Malibu Mirage,4622045,1989,1989-1999,PA46,"OY-JEA, N529TX, N5929V), N830M"
OY-HNA,Eurocopter EC225 LP Super Puma Mk2+,2825,2012,2012-2013,EC25,"OY-HNA DanCopter A/S,  N412SG, N563AC"
OY-HMF,SNIAS AS.332L Super Puma,2040,1983,1983-1996,AS32,"F-WTNN, (G-TIGT), OY-HMF, G-BWWI, N204VA, wfu 2018"
OY-HBK,Sikorsky S-61N,61744,1975,1975-1984,S61,"OY-HBK Grønlandsfly ""Isunngaq"" (skua/kjoven), N222RA, N612RM, C-FSYH, N612RM, C-GOJN"
OY-FCE,Cessna 525 CitationJet,525-0165,1996,,C525,"N5148B, D-IJYP, (OY-FCE), D-IHCW, N525P, w/o 15.4.2018 NW of Crozet, VA USA"
OY-DRU,Beech D95A Travel Air,TD-680,1966,1972-1995,BE95,"N234JB, (N487WM), ""OY-DRM"", OY-DRU, N15116, wfu 2018"
OY-DRM,Beech D95A Travel Air,TD-680,1966,(1972),BE95,"N234JB, (N487WM), ""OY-DRM"", OY-DRU, NN15116, wfu 2018"
OY-BSH,Beech A60 Duke,P-187,1972,1982-1994,BE60,"D-IBOU, OE-FFZ, OY-BSH, OO-GWJ, N98GW, wfu 2013-2017"
OY-AUP,Beech 58P Baron,TJ-304,1980,1980-1984,BE58,"OY-AUP, N47812, N996KR, N649LC"
OY-ARM,Beech 76 Duchess,ME-284,1979,1980-1997,BE76,"(N223JC), OY-ARM, G-BXHD, N776JH, N776PA"
OY-AKB,Cessna 310P,310P0229,1970,(1970),C310,"N5729M, (LN-TUV), (OY-AKB),  LN-NPX, LV-"
OY-AJA,Piper PA-23-250  Aztec E,27-4715,1971,1977-1980,PA27,"N14152, G-AZMK, OY-AJA, G-AZMK, N14152, N343CH, wfu 2019"
OY-ASK,Learjet 25C,25C-097,1972,-,LJ25,"HB-VCS, (OY-ASK), I-SFER, N22NJ, N220AR, N79EV, N252LJ, YV-C3198"
OY-KBW,Airbus A321-253NX,9541,2020,,,"D-AVZA, (OY-KBW), SE-DMO ""Jarl Viking"""
OY-PAF(1),LET L 410UVP-E3,892325,1989,1999-2004,L410,"2325/73 (Sovj. A.F.), S9-TBJ, S9-TBG, OY-PAF Skive Paraclub, 3D-DEN, 9Q-CEN, 9S-GEN, +13.8.20 Kanuzi-Biega National Park, D.R. Congo"
OY-XTC,Glaser-Dirks DG-300 Elan,3E320,1988,1989-1997,,"Competition number TC, BGA 4349/JAB, G-DJAB, G-PBDG"
OY-PHZ,Piper PA-46-500TP Malibu Meridian,4697283,2006,2007-2007,P46T,"OY-PHZ Air Alpha Aircraft Sales A/S, YL-CHD(2), OK-NEC, N13WJ"
OY-PEP,Piper PA-28RT-201T  Turbo Arrow IV,28R-7931070,1979,1989-1997,P28T,"N2217Q, OY-PEP, G-OPEP, G-GMKB"
OY-JBA,Cessna 172RG Cutlass RG,172RG0558,1980,2013-2019,C72R,"N5532V, OK-MND, OY-JBA, YR-FBA"
OY-HFN,Robinson R22 Beta,1949,1991,1991-1995,R22,"OY-HFN, EC-GGG, EC-GFL, Canx 2020"
